"Lat: -0.5, Long: -8.5, over the ocean",year,obs_anoms,smoothed_anoms,rcp26,rcp45,rcp60,rcp85
0,1850,-0.726,-0.6390091248770481,,,,
1,1851,-0.61,-0.5978737714777883,,,,
2,1852,-0.368,-0.5580138315605195,,,,
3,1853,-0.445,-0.5172452472100643,,,,
4,1854,-0.851,-0.47823573352242577,,,,
5,1855,-0.308,-0.4729008313534449,,,,
6,1856,-0.266,-0.45121530337150617,,,,
7,1857,-0.571,-0.4081048153663885,,,,
8,1858,-0.685,-0.3733283842228343,,,,
9,1859,0.039,-0.35070878791349674,,,,
10,1860,-0.262,-0.3233800133778573,,,,
11,1861,-0.492,-0.29575974200581423,,,,
12,1862,-0.063,-0.285203159863773,,,,
13,1863,-0.276,-0.2890300758545513,,,,
14,1864,-0.532,-0.28720329866883,,,,
15,1865,-0.185,-0.2839898984440313,,,,
16,1866,-0.205,-0.2907088537830952,,,,
17,1867,-0.397,-0.2893953014825979,,,,
18,1868,-0.131,-0.2819372237061143,,,,
19,1869,-0.442,-0.2601615434248925,,,,
20,1870,-0.246,-0.21956361574446848,,,,
21,1871,-0.363,-0.1699283642052612,,,,
22,1872,0.064,-0.113924404975949,,,,
23,1873,0.122,-0.08237627022593098,,,,
24,1874,-0.806,-0.07159927728108414,,,,
25,1875,0.461,-0.07767741785758477,,,,
26,1876,-0.21,-0.1146915775757395,,,,
27,1877,-0.251,-0.16818530103073653,,,,
28,1878,-0.087,-0.2250853399922857,,,,
29,1879,-0.375,-0.2886708096440043,,,,
30,1880,-0.41,-0.3424178908383486,,,,
31,1881,-0.226,-0.39401163958580404,,,,
32,1882,-0.619,-0.4162733882756474,,,,
33,1883,-0.366,-0.4019071218635567,,,,
34,1884,-0.783,-0.403577120579516,,,,
35,1885,-0.161,-0.4299024583449607,,,,
36,1886,0.165,-0.4388826936150212,,,,
37,1887,-0.567,-0.45138520447771996,,,,
38,1888,-0.849,-0.4975439199919921,,,,
39,1889,0.172,-0.575354080758924,,,,
40,1890,-0.571,-0.6174553642180135,,,,
41,1891,-0.853,-0.6029101725397232,,,,
42,1892,-0.779,-0.5765115618045527,,,,
43,1893,-0.397,-0.5431113507377274,,,,
44,1894,-0.319,-0.4779083079234252,,,,
45,1895,-0.598,-0.40084689070963986,,,,
46,1896,-0.335,-0.3411608981011212,,,,
47,1897,-0.107,-0.30977582622194316,,,,
48,1898,-0.399,-0.29686245585468146,,,,
49,1899,-0.062,-0.3226366061282047,,,,
50,1900,-0.371,-0.4001864836485829,,,,
51,1901,-0.276,-0.5233572764182163,,,,
52,1902,-0.783,-0.651111713994272,,,,
53,1903,-0.798,-0.7572439871040364,,,,
54,1904,-1.399,-0.8260704384254934,,,,
55,1905,-0.945,-0.8524523623339714,,,,
56,1906,-0.881,-0.8040376941529477,,,,
57,1907,-0.632,-0.6901328632430784,,,,
58,1908,-0.819,-0.5645900042438531,,,,
59,1909,-0.165,-0.46282886114345023,,,,
60,1910,-0.013,-0.372287009161089,,,,
61,1911,-0.856,-0.30650794279261556,,,,
62,1912,-0.147,-0.26752150045300394,,,,
63,1913,-0.106,-0.24201538312076526,,,,
64,1914,-0.479,-0.19874833316428883,,,,
65,1915,-0.24,-0.17519107268690362,,,,
66,1916,0.115,-0.20361987167920528,,,,
67,1917,0.16,-0.22420980034382765,,,,
68,1918,-0.442,-0.2215294467032127,,,,
69,1919,-0.761,-0.24986757151791336,,,,
70,1920,-0.25,-0.29726882184641673,,,,
71,1921,0.315,-0.3011819096004297,,,,
72,1922,-0.499,-0.24699494677285574,,,,
73,1923,-0.381,-0.17919654709239272,,,,
74,1924,0.029,-0.13729537442870102,,,,
75,1925,-0.126,-0.10895337971155158,,,,
76,1926,0.21,-0.10202484288126693,,,,
77,1927,-0.054,-0.13116142186877927,,,,
78,1928,-0.129,-0.18860764685586695,,,,
79,1929,-0.467,-0.25111797069606157,,,,
80,1930,-0.447,-0.26815992968695895,,,,
81,1931,-0.25,-0.2125316799245824,,,,
82,1932,-0.652,-0.12835014664422187,,,,
83,1933,0.192,-0.04566255986472363,,,,
84,1934,0.561,0.03825862211350294,,,,
85,1935,0.131,0.10313357356248545,,,,
86,1936,-0.507,0.12537561523558913,,,,
87,1937,0.44,0.10182499232594122,,,,
88,1938,0.043,0.0718613560576029,,,,
89,1939,-0.146,0.04039155998295582,,,,
90,1940,0.191,-0.016147064584907018,,,,
91,1941,0.121,-0.05626211750726283,,,,
92,1942,-0.398,-0.050663129522498004,,,,
93,1943,-0.433,-0.04074869486468019,,,,
94,1944,0.084,-0.03460077597971487,,,,
95,1945,0.442,-0.009412439169212283,,,,
96,1946,-0.219,0.048474525097435134,,,,
97,1947,0.327,0.08298342551906028,,,,
98,1948,-0.296,0.08682306363835246,,,,
99,1949,0.422,0.08358224735348377,,,,
100,1950,-0.056,0.07898833837949627,,,,
101,1951,0.143,0.043473906482139626,,,,
102,1952,0.161,-0.014603523068298716,,,,
103,1953,-0.063,-0.097422080179817,,,,
104,1954,-0.355,-0.18339040319512825,,,,
105,1955,-0.2,-0.2654657346687423,,,,
106,1956,-0.541,-0.28455305926628005,,,,
107,1957,-0.287,-0.24062801900492883,,,,
108,1958,-0.766,-0.16466031915347135,,,,
109,1959,0.162,-0.07435066794497003,,,,
110,1960,0.097,0.02355444933461902,,,,
111,1961,0.233,0.055378126731637695,,,,
112,1962,0.137,0.039583990415894506,,,,
113,1963,1.053,0.01910752926232401,,,,
114,1964,-0.222,-0.006070593540400102,,,,
115,1965,-0.241,-0.025746126842222557,,,,
116,1966,0.329,-0.027528116544459913,,,,
117,1967,-0.257,0.00023176993164014448,,,,
118,1968,0.496,0.02439072465400189,,,,
119,1969,-0.048,0.04557898193147068,,,,
120,1970,-0.027,0.07408714722705786,,,,
121,1971,-0.016,0.11526951016133252,,,,
122,1972,0.093,0.125592747309962,,,,
123,1973,0.65,0.10778459537917365,,,,
124,1974,0.33,0.07710448137939191,,,,
125,1975,-0.009,0.032838866645255246,,,,
126,1976,-0.527,-0.019193011311480733,,,,
127,1977,-0.021,-0.06760439888627225,,,,
128,1978,-0.434,-0.07401361383272587,,,,
129,1979,0.228,-0.04426416402172897,,,,
130,1980,-0.097,0.012499630068447086,,,,
131,1981,0.268,0.08472546754339128,,,,
132,1982,-0.01,0.1562941649188637,,,,
133,1983,0.034,0.2046962056312993,,,,
134,1984,0.739,0.263339161685083,,,,
135,1985,0.298,0.34025590964937713,,,,
136,1986,0.166,0.405018274092949,,,,
137,1987,0.572,0.4250914373952123,,,,
138,1988,0.785,0.40858211566342106,,,,
139,1989,0.401,0.38132620878309714,,,,
140,1990,0.21,0.34854429299245615,,,,
141,1991,0.345,0.3134476479124883,,,,
142,1992,-0.253,0.3059712615292187,,,,
143,1993,0.378,0.3222928973997144,,,,
144,1994,0.314,0.3486267543442769,,,,
145,1995,0.668,0.4000456990945789,,,,
146,1996,0.438,0.4630574499093509,,,,
147,1997,0.015,0.48930611958602477,,,,
148,1998,0.832,0.48374715741479396,,,,
149,1999,0.668,0.4776956479633774,0.413,0.399,0.443,0.398
150,2000,0.339,0.4937632391257219,0.38,0.395,0.357,0.421
151,2001,0.375,0.49643364502170606,0.47,0.497,0.444,0.51
152,2002,0.421,0.4742540969401306,0.469,0.46,0.527,0.474
153,2003,0.737,0.4791639312945571,0.484,0.472,0.481,0.478
154,2004,0.385,0.5269750500355116,0.531,0.512,0.53,0.532
155,2005,0.365,0.5919017142976436,0.541,0.527,0.589,0.539
156,2006,0.684,0.6495960513221062,0.55,0.52,0.525,0.562
157,2007,0.735,0.7034333011864468,0.527,0.632,0.584,0.508
158,2008,1.03,0.7438926654888365,0.556,0.6,0.593,0.555
159,2009,0.731,0.7438145208004054,0.66,0.6,0.625,0.678
160,2010,0.926,0.7022560441705346,0.632,0.717,0.666,0.703
161,2011,0.608,0.6425275687980554,0.668,0.627,0.666,0.61
162,2012,0.331,0.5939502486235714,0.741,0.598,0.635,0.686
163,2013,0.527,0.5776540865624066,0.697,0.659,0.651,0.649
164,2014,0.397,0.5877719852096246,0.812,0.838,0.844,0.695
165,2015,0.685,0.6330153449178534,0.763,0.832,0.786,0.743
166,2016,0.858,0.6823555146411817,0.768,0.763,0.817,0.818
167,2017,0.724,0.7361056143892821,0.748,0.777,0.753,0.845
168,2018,0.722,0.7906522121949022,0.84,0.823,0.731,0.844
169,2019,,,0.758,0.871,0.777,0.885
170,2020,,,0.863,0.838,0.84,0.869
171,2021,,,0.847,0.86,0.804,0.962
172,2022,,,0.959,0.884,0.79,1.024
173,2023,,,0.919,0.899,0.933,1.031
174,2024,,,0.942,0.96,0.93,1.07
175,2025,,,0.944,0.898,0.933,1.062
176,2026,,,0.962,1.005,1.029,1.164
177,2027,,,1.009,0.943,0.91,1.131
178,2028,,,0.944,1.031,0.996,1.134
179,2029,,,1.007,1.052,1.081,1.163
180,2030,,,1.058,1.122,1.03,1.166
181,2031,,,0.968,1.067,1.063,1.248
182,2032,,,1.038,1.07,1.082,1.202
183,2033,,,1.164,1.087,1.094,1.298
184,2034,,,1.042,1.151,1.037,1.356
185,2035,,,1.02,1.206,1.092,1.328
186,2036,,,1.141,1.178,1.17,1.349
187,2037,,,1.142,1.194,1.144,1.369
188,2038,,,1.137,1.252,1.097,1.502
189,2039,,,1.205,1.326,1.262,1.51
190,2040,,,1.091,1.276,1.166,1.55
191,2041,,,1.147,1.308,1.289,1.57
192,2042,,,1.1,1.357,1.242,1.549
193,2043,,,1.09,1.32,1.234,1.623
194,2044,,,1.167,1.394,1.245,1.744
195,2045,,,1.077,1.291,1.264,1.65
196,2046,,,1.067,1.389,1.275,1.769
197,2047,,,1.142,1.4,1.296,1.83
198,2048,,,1.234,1.337,1.316,1.831
199,2049,,,1.233,1.457,1.374,1.831
200,2050,,,1.252,1.461,1.389,1.895
201,2051,,,1.189,1.521,1.46,1.931
202,2052,,,1.149,1.484,1.384,1.981
203,2053,,,1.219,1.599,1.416,1.998
204,2054,,,1.246,1.58,1.523,2.084
205,2055,,,1.187,1.608,1.494,2.1
206,2056,,,1.254,1.521,1.487,2.093
207,2057,,,1.122,1.565,1.487,2.195
208,2058,,,1.183,1.604,1.589,2.266
209,2059,,,1.163,1.7,1.668,2.318
210,2060,,,1.155,1.759,1.579,2.377
211,2061,,,1.15,1.698,1.663,2.341
212,2062,,,1.211,1.726,1.722,2.364
213,2063,,,1.195,1.733,1.605,2.406
214,2064,,,1.192,1.729,1.699,2.461
215,2065,,,1.233,1.692,1.712,2.517
216,2066,,,1.286,1.799,1.71,2.585
217,2067,,,1.263,1.778,1.825,2.656
218,2068,,,1.183,1.715,1.833,2.611
219,2069,,,1.209,1.761,1.754,2.602
220,2070,,,1.115,1.846,1.896,2.634
221,2071,,,1.172,1.868,1.914,2.843
222,2072,,,1.216,1.805,1.834,2.843
223,2073,,,1.199,1.817,1.904,2.84
224,2074,,,1.174,1.875,1.925,2.926
225,2075,,,1.175,1.841,2.028,2.947
226,2076,,,1.058,1.82,2.026,3.021
227,2077,,,1.14,1.792,2.112,2.987
228,2078,,,1.187,1.798,1.988,2.987
229,2079,,,1.233,1.868,2.087,3.087
230,2080,,,1.16,1.807,2.005,3.168
231,2081,,,1.065,1.9,2.124,3.144
232,2082,,,1.151,1.902,2.183,3.22
233,2083,,,1.145,1.858,2.116,3.298
234,2084,,,1.202,1.864,2.174,3.249
235,2085,,,1.176,1.905,2.286,3.293
236,2086,,,1.168,1.908,2.306,3.426
237,2087,,,1.243,1.884,2.27,3.41
238,2088,,,1.147,1.877,2.226,3.44
239,2089,,,1.094,1.885,2.303,3.48
240,2090,,,1.211,2.025,2.245,3.576
241,2091,,,1.194,1.927,2.338,3.6
242,2092,,,1.187,1.865,2.361,3.656
243,2093,,,1.147,1.904,2.374,3.725
