"Lat: -0.5, Long: -12.5, over the ocean",year,obs_anoms,smoothed_anoms,rcp26,rcp45,rcp60,rcp85
0,1850,-0.54,-0.529259917449148,,,,
1,1851,-0.553,-0.5090521961544008,,,,
2,1852,-0.363,-0.4886675970456483,,,,
3,1853,-0.438,-0.4672815510193749,,,,
4,1854,-0.782,-0.44731418452808624,,,,
5,1855,-0.258,-0.4518278977192694,,,,
6,1856,-0.261,-0.43509447096041737,,,,
7,1857,-0.545,-0.3976136493866995,,,,
8,1858,-0.851,-0.36689546230032644,,,,
9,1859,0.014,-0.34702562064466114,,,,
10,1860,-0.282,-0.32249016544292963,,,,
11,1861,-0.429,-0.2946491564922021,,,,
12,1862,-0.032,-0.28552071778116483,,,,
13,1863,-0.312,-0.28943065546236235,,,,
14,1864,-0.538,-0.28977522353869,,,,
15,1865,-0.224,-0.29092627700822293,,,,
16,1866,-0.166,-0.2980209712524139,,,,
17,1867,-0.417,-0.2911320652064284,,,,
18,1868,-0.141,-0.27909935198417524,,,,
19,1869,-0.456,-0.2560579568436446,,,,
20,1870,-0.191,-0.215315552095735,,,,
21,1871,-0.372,-0.16428897798538827,,,,
22,1872,0.046,-0.11234840557132054,,,,
23,1873,0.141,-0.09086057909823587,,,,
24,1874,-0.757,-0.087787883072889,,,,
25,1875,0.453,-0.09382405558152183,,,,
26,1876,-0.242,-0.12766571655107709,,,,
27,1877,-0.276,-0.1797410632566083,,,,
28,1878,-0.079,-0.2310787143546066,,,,
29,1879,-0.291,-0.28495688707134126,,,,
30,1880,-0.474,-0.3285364435851733,,,,
31,1881,-0.226,-0.3744491553773732,,,,
32,1882,-0.56,-0.3950871790947997,,,,
33,1883,-0.327,-0.3777168043408078,,,,
34,1884,-0.79,-0.37091135769544786,,,,
35,1885,-0.152,-0.38921594498694634,,,,
36,1886,0.199,-0.39106823289658166,,,,
37,1887,-0.481,-0.3930963688305453,,,,
38,1888,-0.794,-0.4243103872893455,,,,
39,1889,0.174,-0.48877053033345924,,,,
40,1890,-0.482,-0.5244742812247694,,,,
41,1891,-0.696,-0.5089718573811609,,,,
42,1892,-0.689,-0.4822293346735877,,,,
43,1893,-0.34,-0.45214494161680796,,,,
44,1894,-0.253,-0.39616012501213255,,,,
45,1895,-0.468,-0.33357272677220673,,,,
46,1896,-0.277,-0.28743811962381954,,,,
47,1897,-0.052,-0.26715938807000233,,,,
48,1898,-0.425,-0.26094775691531763,,,,
49,1899,-0.052,-0.28159902410364923,,,,
50,1900,-0.361,-0.33944273314552337,,,,
51,1901,-0.217,-0.4331146256511552,,,,
52,1902,-0.62,-0.53134674650903,,,,
53,1903,-0.596,-0.6161935478959742,,,,
54,1904,-1.143,-0.6731769709589123,,,,
55,1905,-0.77,-0.6994501025273375,,,,
56,1906,-0.728,-0.663680674586928,,,,
57,1907,-0.54,-0.5696141054637482,,,,
58,1908,-0.71,-0.46460732031237983,,,,
59,1909,-0.12,-0.37912599768284205,,,,
60,1910,0.067,-0.3011298005118975,,,,
61,1911,-0.75,-0.24441249291324973,,,,
62,1912,-0.11,-0.21587907841532952,,,,
63,1913,-0.055,-0.20702792048533766,,,,
64,1914,-0.401,-0.18646021914115776,,,,
65,1915,-0.256,-0.18066253344878686,,,,
66,1916,0.012,-0.216842413176225,,,,
67,1917,0.063,-0.2390198873863104,,,,
68,1918,-0.464,-0.22923260143894575,,,,
69,1919,-0.657,-0.23534631481316634,,,,
70,1920,-0.232,-0.24961432249120932,,,,
71,1921,0.21,-0.22303794213047626,,,,
72,1922,-0.403,-0.14622846287535518,,,,
73,1923,-0.179,-0.06586452732110154,,,,
74,1924,0.127,-0.014971574261711881,,,,
75,1925,0.057,0.013496921537226477,,,,
76,1926,0.208,0.014197845331801972,,,,
77,1927,0.092,-0.02082686489598281,,,,
78,1928,-0.035,-0.07699066658046817,,,,
79,1929,-0.42,-0.134421943340037,,,,
80,1930,-0.275,-0.15075352981785778,,,,
81,1931,-0.122,-0.10521747710248927,,,,
82,1932,-0.463,-0.031401709587450304,,,,
83,1933,0.28,0.04151997731684822,,,,
84,1934,0.535,0.10510601350376379,,,,
85,1935,0.159,0.14786441958243762,,,,
86,1936,-0.474,0.1564904524852961,,,,
87,1937,0.397,0.1262862621978942,,,,
88,1938,0.027,0.08908988493319131,,,,
89,1939,-0.086,0.05602756439517018,,,,
90,1940,0.237,0.011147586667732148,,,,
91,1941,0.032,-0.02165093620444439,,,,
92,1942,-0.271,-0.020854207491154624,,,,
93,1943,-0.207,-0.018203410214890144,,,,
94,1944,0.043,-0.013991490498575454,,,,
95,1945,0.451,0.0070548114110677695,,,,
96,1946,-0.269,0.05234472294054303,,,,
97,1947,0.286,0.08005086535506639,,,,
98,1948,-0.215,0.08653955352894947,,,,
99,1949,0.434,0.0876482783419884,,,,
100,1950,-0.035,0.08629128293775465,,,,
101,1951,0.147,0.05421107767925717,,,,
102,1952,0.159,0.00013266435218248565,,,,
103,1953,-0.066,-0.07965370621282841,,,,
104,1954,-0.307,-0.16392690348720812,,,,
105,1955,-0.145,-0.24284296482992843,,,,
106,1956,-0.545,-0.25927999528629236,,,,
107,1957,-0.28,-0.21914718035528127,,,,
108,1958,-0.74,-0.15013766738020443,,,,
109,1959,0.161,-0.06384101482577444,,,,
110,1960,0.069,0.03228972462495872,,,,
111,1961,0.249,0.05383345921288432,,,,
112,1962,0.165,0.01783172686771363,,,,
113,1963,0.965,-0.014435394358450792,,,,
114,1964,-0.282,-0.045205966256791213,,,,
115,1965,-0.381,-0.07381409817060662,,,,
116,1966,0.264,-0.08078285030222707,,,,
117,1967,-0.252,-0.0412859535001116,,,,
118,1968,0.485,-0.001724640051040551,,,,
119,1969,-0.05,0.032197673759836565,,,,
120,1970,0.013,0.06873663767148909,,,,
121,1971,-0.059,0.11645777316888258,,,,
122,1972,0.125,0.13446375132622068,,,,
123,1973,0.684,0.12498837741380044,,,,
124,1974,0.361,0.10151674384902255,,,,
125,1975,0.026,0.06703702160883922,,,,
126,1976,-0.533,0.019191707207495,,,,
127,1977,0.012,-0.03373755242970694,,,,
128,1978,-0.36,-0.04961818418321999,,,,
129,1979,0.234,-0.030276532895130454,,,,
130,1980,-0.119,0.013545742673182648,,,,
131,1981,0.236,0.07141679659190055,,,,
132,1982,0.017,0.13419786229558997,,,,
133,1983,-0.039,0.18274292738334097,,,,
134,1984,0.618,0.24006708470211732,,,,
135,1985,0.281,0.31034528635187414,,,,
136,1986,0.224,0.3701704217783419,,,,
137,1987,0.506,0.39080715159592866,,,,
138,1988,0.681,0.37409043895112076,,,,
139,1989,0.35,0.3438357066407732,,,,
140,1990,0.226,0.30699275978132734,,,,
141,1991,0.241,0.2770404014382534,,,,
142,1992,-0.424,0.2781717365464785,,,,
143,1993,0.265,0.30462821250786665,,,,
144,1994,0.27,0.3420123820016626,,,,
145,1995,0.68,0.40601608472920414,,,,
146,1996,0.525,0.4763004147886989,,,,
147,1997,0.056,0.5047803455212136,,,,
148,1998,0.931,0.4976554504018077,,,,
149,1999,0.659,0.484182158398422,0.388,0.379,0.412,0.377
150,2000,0.285,0.4905186832873489,0.386,0.394,0.377,0.418
151,2001,0.352,0.4879243419758639,0.47,0.486,0.455,0.5
152,2002,0.437,0.4613787331641118,0.451,0.445,0.514,0.458
153,2003,0.735,0.4615747524058542,0.445,0.441,0.439,0.441
154,2004,0.404,0.5059627254136333,0.509,0.489,0.51,0.507
155,2005,0.316,0.5643613950968728,0.536,0.516,0.582,0.532
156,2006,0.589,0.6151296393876506,0.531,0.511,0.515,0.55
157,2007,0.74,0.671271905403543,0.528,0.625,0.588,0.508
158,2008,0.945,0.7170394231142542,0.527,0.588,0.582,0.527
159,2009,0.667,0.7222523036888564,0.645,0.586,0.578,0.666
160,2010,1.083,0.6897549769907975,0.619,0.698,0.656,0.69
161,2011,0.601,0.6373338812013972,0.641,0.625,0.645,0.599
162,2012,0.284,0.5865499962093399,0.731,0.582,0.626,0.67
163,2013,0.576,0.561687908178148,0.678,0.645,0.631,0.639
164,2014,0.395,0.5688883656439525,0.797,0.809,0.835,0.67
165,2015,0.539,0.6200456978229909,0.743,0.81,0.768,0.735
166,2016,0.847,0.6732798278138639,0.757,0.748,0.787,0.802
167,2017,0.781,0.7319222698628098,0.73,0.763,0.744,0.844
168,2018,0.725,0.7934813394811997,0.848,0.821,0.714,0.828
169,2019,,,0.746,0.856,0.789,0.861
170,2020,,,0.839,0.824,0.827,0.854
171,2021,,,0.837,0.826,0.787,0.943
172,2022,,,0.935,0.872,0.799,1.001
173,2023,,,0.903,0.875,0.906,1.015
174,2024,,,0.921,0.93,0.914,1.051
175,2025,,,0.93,0.889,0.92,1.042
176,2026,,,0.956,0.987,1.024,1.129
177,2027,,,1.004,0.93,0.915,1.116
178,2028,,,0.919,1.0,0.979,1.1
179,2029,,,0.997,1.032,1.087,1.156
180,2030,,,1.027,1.113,1.016,1.161
181,2031,,,0.959,1.056,1.059,1.232
182,2032,,,1.018,1.061,1.066,1.179
183,2033,,,1.137,1.071,1.086,1.279
184,2034,,,1.022,1.144,1.036,1.34
185,2035,,,1.017,1.185,1.068,1.31
186,2036,,,1.125,1.154,1.152,1.33
187,2037,,,1.129,1.171,1.147,1.352
188,2038,,,1.118,1.242,1.088,1.483
189,2039,,,1.2,1.296,1.259,1.499
190,2040,,,1.082,1.258,1.143,1.532
191,2041,,,1.128,1.28,1.254,1.557
192,2042,,,1.098,1.327,1.219,1.526
193,2043,,,1.076,1.307,1.22,1.592
194,2044,,,1.145,1.376,1.231,1.725
195,2045,,,1.055,1.287,1.235,1.627
196,2046,,,1.055,1.368,1.229,1.755
197,2047,,,1.143,1.386,1.274,1.815
198,2048,,,1.222,1.327,1.289,1.803
199,2049,,,1.228,1.437,1.365,1.825
200,2050,,,1.22,1.428,1.386,1.872
201,2051,,,1.188,1.506,1.439,1.904
202,2052,,,1.14,1.459,1.364,1.965
203,2053,,,1.201,1.572,1.391,1.972
204,2054,,,1.229,1.546,1.523,2.063
205,2055,,,1.186,1.589,1.5,2.088
206,2056,,,1.259,1.504,1.476,2.066
207,2057,,,1.131,1.543,1.469,2.169
208,2058,,,1.178,1.581,1.56,2.251
209,2059,,,1.153,1.677,1.648,2.295
210,2060,,,1.158,1.735,1.547,2.347
211,2061,,,1.135,1.656,1.654,2.332
