"Lat: -0.5, Long: -24.5, over the ocean",year,obs_anoms,smoothed_anoms,rcp26,rcp45,rcp60,rcp85
0,1850,-0.203,-0.17765147049366015,,,,
1,1851,-0.217,-0.22459934767489204,,,,
2,1852,-0.23,-0.2710369886080125,,,,
3,1853,-0.258,-0.3160120073323726,,,,
4,1854,-0.504,-0.36030025623211615,,,,
5,1855,-0.426,-0.39213444919970003,,,,
6,1856,-0.307,-0.3995261053013961,,,,
7,1857,-0.704,-0.3879545951017396,,,,
8,1858,-0.35,-0.36419265240067256,,,,
9,1859,-0.206,-0.3372740219647401,,,,
10,1860,-0.331,-0.3267280883086266,,,,
11,1861,-0.309,-0.3400370139420506,,,,
12,1862,-0.08,-0.3529476516484855,,,,
13,1863,-0.63,-0.3510349734095539,,,,
14,1864,-0.657,-0.3533445930457454,,,,
15,1865,-0.232,-0.3709916581437385,,,,
16,1866,-0.167,-0.3809911236835726,,,,
17,1867,-0.343,-0.3658266761972944,,,,
18,1868,-0.498,-0.3502743126334872,,,,
19,1869,-0.467,-0.3362932897598161,,,,
20,1870,-0.331,-0.30612559619847585,,,,
21,1871,-0.28,-0.2617051422458836,,,,
22,1872,-0.089,-0.21432206219232763,,,,
23,1873,0.006,-0.19171027203962343,,,,
24,1874,-0.604,-0.18154735428179605,,,,
25,1875,0.121,-0.17484325688652058,,,,
26,1876,-0.435,-0.17938382146327592,,,,
27,1877,-0.203,-0.19805604562251364,,,,
28,1878,-0.048,-0.22212218768602754,,,,
29,1879,-0.08,-0.25861157623962105,,,,
30,1880,-0.655,-0.29889362537591097,,,,
31,1881,-0.245,-0.3538846772733072,,,,
32,1882,-0.466,-0.4021027726682506,,,,
33,1883,-0.478,-0.41033753401059364,,,,
34,1884,-0.588,-0.395815955277678,,,,
35,1885,-0.289,-0.3925315975640229,,,,
36,1886,0.194,-0.3731394826077702,,,,
37,1887,-0.335,-0.3513302776995863,,,,
38,1888,-0.684,-0.3413413303593445,,,,
39,1889,-0.013,-0.35789673751576345,,,,
40,1890,-0.472,-0.3734250640942661,,,,
41,1891,-0.346,-0.3684116555204723,,,,
42,1892,-0.442,-0.3494851259305325,,,,
43,1893,-0.351,-0.3223133749661936,,,,
44,1894,-0.339,-0.28305107537597524,,,,
45,1895,-0.176,-0.25239191333953176,,,,
46,1896,-0.141,-0.22886178346327,,,,
47,1897,-0.082,-0.2153601635220462,,,,
48,1898,-0.44,-0.21652418832395684,,,,
49,1899,-0.111,-0.25110277103836565,,,,
50,1900,-0.338,-0.3100410426439577,,,,
51,1901,-0.085,-0.3825581936290244,,,,
52,1902,-0.556,-0.4496223421788437,,,,
53,1903,-0.533,-0.5038975831548292,,,,
54,1904,-0.819,-0.5422224204782347,,,,
55,1905,-0.646,-0.5621447691216614,,,,
56,1906,-0.419,-0.5424484619980846,,,,
57,1907,-0.47,-0.4943573300226508,,,,
58,1908,-0.631,-0.4472127271108759,,,,
59,1909,-0.282,-0.40988808721875447,,,,
60,1910,-0.227,-0.37861383762330036,,,,
61,1911,-0.696,-0.35089203141066205,,,,
62,1912,-0.175,-0.32720665148330086,,,,
63,1913,-0.273,-0.30919831091055905,,,,
64,1914,-0.455,-0.28106875942782655,,,,
65,1915,-0.185,-0.25471712010656467,,,,
66,1916,-0.253,-0.25098179426059114,,,,
67,1917,-0.07,-0.24608736753936536,,,,
68,1918,-0.249,-0.2328649172203428,,,,
69,1919,-0.409,-0.2308871172305181,,,,
70,1920,-0.254,-0.22530054164507407,,,,
71,1921,-0.066,-0.20371237446722973,,,,
72,1922,-0.362,-0.16661260641668615,,,,
73,1923,-0.094,-0.11282474925716998,,,,
74,1924,0.087,-0.06029041593208296,,,,
75,1925,-0.329,-0.027696641572892124,,,,
76,1926,0.301,-0.015745174089220652,,,,
77,1927,0.154,-0.020868760511440123,,,,
78,1928,-0.122,-0.02620583215736686,,,,
79,1929,-0.111,-0.03660040129696993,,,,
80,1930,-0.264,-0.04256875955636387,,,,
81,1931,0.205,-0.01734726781539492,,,,
82,1932,-0.242,0.028704305082015043,,,,
83,1933,0.145,0.0693090446403444,,,,
84,1934,0.291,0.10594532006909348,,,,
85,1935,0.176,0.1287903061642894,,,,
86,1936,-0.123,0.13720767590378052,,,,
87,1937,0.345,0.13122473925142678,,,,
88,1938,0.114,0.1226891647694981,,,,
89,1939,-0.052,0.11542759857464951,,,,
90,1940,0.286,0.08853044282750522,,,,
91,1941,0.085,0.052222922167115986,,,,
92,1942,0.084,0.040182493359821735,,,,
93,1943,-0.356,0.036557653660986116,,,,
94,1944,-0.075,0.03362776751840719,,,,
95,1945,0.309,0.04510825647981194,,,,
96,1946,-0.075,0.07962396430968739,,,,
97,1947,0.239,0.10993785066424559,,,,
98,1948,0.091,0.11425064089591196,,,,
99,1949,0.298,0.10869001732975157,,,,
100,1950,-0.041,0.10351760867408598,,,,
101,1951,0.013,0.07720399584591063,,,,
102,1952,0.156,0.04138219228883378,,,,
103,1953,0.129,0.0035514610679843895,,,,
104,1954,-0.198,-0.03613124952712032,,,,
105,1955,0.016,-0.08858744547554367,,,,
106,1956,-0.182,-0.12199638175056296,,,,
107,1957,-0.193,-0.11659083499202885,,,,
108,1958,-0.479,-0.08461613993055918,,,,
109,1959,0.005,-0.03832669078672232,,,,
110,1960,0.123,0.02649197745722436,,,,
111,1961,0.102,0.07486849004133111,,,,
112,1962,0.181,0.07984440122934863,,,,
113,1963,0.42,0.06259738036022665,,,,
114,1964,-0.14,0.0368767339155959,,,,
115,1965,-0.316,0.022390251584368095,,,,
116,1966,0.208,0.01892431851349822,,,,
117,1967,-0.345,0.030702163259032883,,,,
118,1968,0.21,0.048847130170105495,,,,
119,1969,0.239,0.056946860369442485,,,,
120,1970,0.121,0.060733447353136995,,,,
121,1971,-0.276,0.06785530605358296,,,,
122,1972,-0.025,0.05233247282376409,,,,
123,1973,0.582,0.026685665762879725,,,,
124,1974,0.097,0.013849021369444426,,,,
125,1975,0.018,0.01637303693057844,,,,
126,1976,-0.588,0.016495829488778348,,,,
127,1977,-0.017,0.011252647548046262,,,,
128,1978,-0.115,0.020971701419283006,,,,
129,1979,0.24,0.04248310279256673,,,,
130,1980,0.016,0.07267574038164647,,,,
131,1981,0.246,0.11308665576455011,,,,
132,1982,0.014,0.15806124872702734,,,,
133,1983,-0.008,0.19355679781417162,,,,
134,1984,0.467,0.23787644241624537,,,,
135,1985,0.323,0.30233837440652794,,,,
136,1986,0.241,0.3641864478495462,,,,
137,1987,0.432,0.3856082218160062,,,,
138,1988,0.765,0.3661880483277465,,,,
139,1989,0.431,0.33160581534467753,,,,
140,1990,0.249,0.2972596317515826,,,,
141,1991,0.106,0.26343268421795335,,,,
142,1992,-0.345,0.2434858831583643,,,,
143,1993,0.254,0.2519138882652192,,,,
144,1994,0.237,0.2832038666429342,,,,
145,1995,0.411,0.3405742660650171,,,,
146,1996,0.553,0.39088834224388475,,,,
147,1997,-0.011,0.4059424995234671,,,,
148,1998,0.721,0.3976927970995227,,,,
149,1999,0.503,0.38069001320781937,0.271,0.263,0.296,0.253
150,2000,0.171,0.3692328890614736,0.279,0.278,0.263,0.293
151,2001,0.303,0.3618370697218544,0.314,0.316,0.299,0.326
152,2002,0.26,0.34974519593662007,0.357,0.357,0.388,0.361
153,2003,0.473,0.3589225034297945,0.324,0.318,0.3,0.313
154,2004,0.406,0.396501483907621,0.398,0.376,0.377,0.389
155,2005,0.321,0.4405990964309739,0.412,0.405,0.424,0.409
156,2006,0.494,0.47230311823118926,0.426,0.403,0.436,0.406
157,2007,0.509,0.5016891601385322,0.423,0.485,0.469,0.436
158,2008,0.729,0.521207306264988,0.423,0.466,0.462,0.397
159,2009,0.335,0.5086651288134952,0.525,0.461,0.451,0.552
160,2010,1.017,0.47283040787945674,0.492,0.53,0.518,0.569
161,2011,0.55,0.42867429345136265,0.471,0.498,0.514,0.499
162,2012,0.037,0.3983459667244051,0.565,0.477,0.523,0.501
163,2013,0.396,0.4031854112480238,0.562,0.516,0.552,0.532
164,2014,0.155,0.4480621520502467,0.681,0.667,0.692,0.546
165,2015,0.415,0.5272788761812555,0.626,0.664,0.593,0.609
166,2016,0.822,0.6053178981143956,0.647,0.621,0.644,0.65
167,2017,0.987,0.6917415646108118,0.581,0.64,0.642,0.703
168,2018,0.547,0.7830722118640736,0.654,0.689,0.585,0.684
169,2019,,,0.654,0.693,0.682,0.701
170,2020,,,0.692,0.699,0.686,0.689
171,2021,,,0.687,0.699,0.686,0.79
172,2022,,,0.747,0.749,0.711,0.84
173,2023,,,0.773,0.765,0.72,0.859
174,2024,,,0.777,0.803,0.745,0.882
175,2025,,,0.797,0.801,0.77,0.898
176,2026,,,0.82,0.848,0.893,0.994
177,2027,,,0.878,0.858,0.794,0.987
178,2028,,,0.811,0.87,0.832,0.973
179,2029,,,0.905,0.898,0.917,1.004
180,2030,,,0.897,0.938,0.896,1.023
181,2031,,,0.868,0.919,0.929,1.04
182,2032,,,0.894,0.963,0.913,1.039
183,2033,,,0.957,0.965,0.917,1.112
184,2034,,,0.861,1.048,0.99,1.192
185,2035,,,0.932,1.042,0.93,1.171
186,2036,,,0.996,1.024,0.973,1.191
187,2037,,,0.999,1.048,0.955,1.231
188,2038,,,0.968,1.126,0.935,1.304
189,2039,,,1.023,1.125,1.095,1.354
190,2040,,,0.952,1.124,0.995,1.392
191,2041,,,1.019,1.139,1.044,1.394
192,2042,,,0.999,1.177,1.052,1.406
193,2043,,,0.939,1.179,1.065,1.468
194,2044,,,0.996,1.257,1.076,1.576
195,2045,,,0.937,1.185,1.106,1.494
196,2046,,,0.977,1.242,1.087,1.578
197,2047,,,1.044,1.24,1.152,1.646
198,2048,,,1.106,1.214,1.162,1.662
199,2049,,,1.074,1.33,1.23,1.676
200,2050,,,1.089,1.299,1.201,1.712
201,2051,,,1.027,1.36,1.237,1.728
202,2052,,,1.028,1.315,1.219,1.773
203,2053,,,1.078,1.405,1.209,1.801
204,2054,,,1.068,1.402,1.348,1.904
205,2055,,,1.08,1.429,1.382,1.951
206,2056,,,1.121,1.383,1.325,1.903
207,2057,,,1.046,1.404,1.279,1.995
208,2058,,,1.091,1.446,1.388,2.086
209,2059,,,1.022,1.52,1.429,2.116
210,2060,,,1.055,1.56,1.408,2.155
211,2061,,,1.011,1.482,1.451,2.186
212,2062,,,1.071,1.53,1.495,2.18
213,2063,,,1.049,1.56,1.43,2.216
214,2064,,,1.053,1.535,1.491,2.281
215,2065,,,1.091,1.518,1.5,2.34
216,2066,,,1.133,1.589,1.502,2.395
217,2067,,,1.133,1.596,1.635,2.44
218,2068,,,1.034,1.575,1.635,2.41
219,2069,,,1.04,1.558,1.597,2.411
220,2070,,,1.056,1.644,1.628,2.446
221,2071,,,1.078,1.692,1.706,2.599
222,2072,,,1.08,1.593,1.676,2.659
223,2073,,,1.062,1.652,1.693,2.632
224,2074,,,1.059,1.662,1.754,2.702
225,2075,,,1.042,1.626,1.835,2.752
226,2076,,,1.03,1.657,1.771,2.774
227,2077,,,1.02,1.609,1.866,2.792
228,2078,,,1.068,1.643,1.82,2.819
229,2079,,,1.046,1.669,1.848,2.902
230,2080,,,1.025,1.689,1.871,2.935
231,2081,,,0.974,1.716,1.926,2.955
232,2082,,,1.002,1.705,1.957,3.02
233,2083,,,0.974,1.69,1.947,3.076
234,2084,,,1.006,1.727,1.954,3.049
235,2085,,,0.99,1.717,2.049,3.072
236,2086,,,0.999,1.752,2.048,3.183
237,2087,,,1.094,1.691,2.12,3.208
238,2088,,,1.025,1.711,2.037,3.242
239,2089,,,0.964,1.721,2.049,3.276
240,2090,,,1.029,1.805,2.063,3.33
241,2091,,,1.004,1.753,2.143,3.342
242,2092,,,1.013,1.699,2.13,3.441
243,2093,,,1.004,1.709,2.159,3.491
244,2094,,,1.068,1.664,2.185,3.491
245,2095,,,0.993,1.69,2.169,3.561
246,2096,,,0.989,1.691,2.144,3.565
247,2097,,,0.941,1.68,2.186,3.656
248,2098,,,1.024,1.804,2.224,3.658
249,2099,,,1.009,1.777,2.308,3.705
250,2100,,,0.949,1.753,2.27,3.711
