"Lat: -0.5, Long: -6.5, over the ocean",year,obs_anoms,smoothed_anoms,rcp26,rcp45,rcp60,rcp85
0,1850,-0.8,-0.6707847640799893,,,,
1,1851,-0.607,-0.6243270504340493,,,,
2,1852,-0.359,-0.5794784545544273,,,,
3,1853,-0.459,-0.5334611004146051,,,,
4,1854,-0.865,-0.48945381868036886,,,,
5,1855,-0.343,-0.47978238822891206,,,,
6,1856,-0.271,-0.4538023537206458,,,,
7,1857,-0.594,-0.40590994998857177,,,,
8,1858,-0.597,-0.3683948476988563,,,,
9,1859,0.044,-0.34414734414819176,,,,
10,1860,-0.241,-0.3162567765455624,,,,
11,1861,-0.524,-0.2897103977018645,,,,
12,1862,-0.08,-0.280010636004736,,,,
13,1863,-0.262,-0.282629175755121,,,,
14,1864,-0.518,-0.278300600023235,,,,
15,1865,-0.152,-0.2723078081069865,,,,
16,1866,-0.198,-0.2781180251417397,,,,
17,1867,-0.381,-0.27943232260152184,,,,
18,1868,-0.138,-0.27504650977891604,,,,
19,1869,-0.418,-0.2550041819143597,,,,
20,1870,-0.274,-0.21435661120733585,,,,
21,1871,-0.347,-0.1616887978023774,,,,
22,1872,0.089,-0.1012811632349666,,,,
23,1873,0.107,-0.06698608282966133,,,,
24,1874,-0.815,-0.053531747619279146,,,,
25,1875,0.455,-0.05960232616063786,,,,
26,1876,-0.198,-0.09833244919165696,,,,
27,1877,-0.216,-0.15440599373710817,,,,
28,1878,-0.101,-0.2157751844431851,,,,
29,1879,-0.391,-0.2819562211995243,,,,
30,1880,-0.388,-0.3377836360181288,,,,
31,1881,-0.214,-0.38930901682450875,,,,
32,1882,-0.619,-0.41042217862330155,,,,
33,1883,-0.372,-0.3978594584871821,,,,
34,1884,-0.742,-0.4053468011874738,,,,
35,1885,-0.144,-0.4386622683302678,,,,
36,1886,0.166,-0.45671337601361806,,,,
37,1887,-0.596,-0.478050154074152,,,,
38,1888,-0.853,-0.5309474640020848,,,,
39,1889,0.173,-0.613224418212152,,,,
40,1890,-0.602,-0.6568380617484216,,,,
41,1891,-0.89,-0.6427542253507311,,,,
42,1892,-0.806,-0.6149526798765755,,,,
43,1893,-0.429,-0.5777867482868166,,,,
44,1894,-0.353,-0.5088353471940396,,,,
45,1895,-0.642,-0.4263685176138761,,,,
46,1896,-0.37,-0.3597963881561224,,,,
47,1897,-0.113,-0.3211672572769008,,,,
48,1898,-0.375,-0.3033418877706202,,,,
49,1899,-0.064,-0.32966309319728293,,,,
50,1900,-0.35,-0.4140299010369344,,,,
51,1901,-0.301,-0.548264834646056,,,,
52,1902,-0.839,-0.6883513447951752,,,,
53,1903,-0.868,-0.8054109278680827,,,,
54,1904,-1.43,-0.8811401627575561,,,,
55,1905,-1.014,-0.9083653016827244,,,,
56,1906,-0.944,-0.8565501874612368,,,,
57,1907,-0.667,-0.7371447419015384,,,,
58,1908,-0.854,-0.6060331505140484,,,,
59,1909,-0.212,-0.5005659818489886,,,,
60,1910,-0.035,-0.4049627927802174,,,,
61,1911,-0.892,-0.3320928677060079,,,,
62,1912,-0.208,-0.28359266557075674,,,,
63,1913,-0.099,-0.2491728335706009,,,,
64,1914,-0.466,-0.1968917305926181,,,,
65,1915,-0.204,-0.16460375062632185,,,,
66,1916,0.113,-0.1865891283091624,,,,
67,1917,0.2,-0.20491693983973,,,,
68,1918,-0.425,-0.20619144125009276,,,,
69,1919,-0.776,-0.24432997451136973,,,,
70,1920,-0.213,-0.30218042530716577,,,,
71,1921,0.336,-0.31562380904065734,,,,
72,1922,-0.555,-0.269680361321477,,,,
73,1923,-0.429,-0.20816614111548773,,,,
74,1924,-0.002,-0.17018682695301457,,,,
75,1925,-0.154,-0.14063463386275743,,,,
76,1926,0.228,-0.12943797523843684,,,,
77,1927,-0.086,-0.15316651097337053,,,,
78,1928,-0.185,-0.20632215053476255,,,,
79,1929,-0.445,-0.26597712663886147,,,,
80,1930,-0.458,-0.2777139933203876,,,,
81,1931,-0.253,-0.21464744551987527,,,,
82,1932,-0.676,-0.12324598847969144,,,,
83,1933,0.169,-0.03355342095612936,,,,
84,1934,0.553,0.05568693066904494,,,,
85,1935,0.176,0.11960663890546291,,,,
86,1936,-0.492,0.1360254419491947,,,,
87,1937,0.503,0.10420230110238146,,,,
88,1938,0.031,0.06075296061889657,,,,
89,1939,-0.163,0.01399783148861726,,,,
90,1940,0.096,-0.05589346101001132,,,,
91,1941,0.075,-0.11659932965349637,,,,
92,1942,-0.421,-0.14274839424262198,,,,
93,1943,-0.539,-0.14430320017467968,,,,
94,1944,0.127,-0.1321128489877161,,,,
95,1945,,,,,,
96,1946,-0.195,-0.04286909099758806,,,,
97,1947,0.337,0.01085302395725882,,,,
98,1948,-0.321,0.03427748532614828,,,,
99,1949,0.344,0.05261069983871198,,,,
100,1950,-0.054,0.053043523767286556,,,,
101,1951,0.142,0.017980373102675525,,,,
102,1952,0.103,-0.0365028637552284,,,,
103,1953,-0.082,-0.1146393182946821,,,,
104,1954,-0.375,-0.19667772707252887,,,,
105,1955,-0.203,-0.27336504496346414,,,,
106,1956,-0.535,-0.2883928330940498,,,,
107,1957,-0.281,-0.2412961834028091,,,,
108,1958,-0.729,-0.16254466016651928,,,,
109,1959,0.14,-0.07254404802595427,,,,
110,1960,0.124,0.02318456519645249,,,,
111,1961,0.245,0.05653952218169538,,,,
112,1962,0.105,0.047890800993799464,,,,
113,1963,1.035,0.03316156755386204,,,,
114,1964,-0.204,0.011456400485400905,,,,
115,1965,-0.185,-0.004327293155617276,,,,
116,1966,0.359,-0.0030786641278624863,,,,
117,1967,-0.221,0.021176221903615036,,,,
118,1968,0.48,0.04062659962650327,,,,
119,1969,-0.047,0.0555066993124848,,,,
120,1970,-0.035,0.07691893274817911,,,,
121,1971,0.019,0.11104881131524422,,,,
122,1972,0.067,0.11607514163715948,,,,
123,1973,0.636,0.09476402120984341,,,,
124,1974,0.297,0.06168665990758334,,,,
125,1975,-0.027,0.01584775709830833,,,,
126,1976,-0.514,-0.0332666671096701,,,,
127,1977,-0.033,-0.07490126317668162,,,,
128,1978,-0.451,-0.07675620455443383,,,,
129,1979,0.241,-0.046172104948063446,,,,
130,1980,-0.074,0.010218667928581556,,,,
131,1981,0.253,0.08274266059493504,,,,
132,1982,-0.036,0.15524622819614362,,,,
133,1983,0.035,0.20429439894306695,,,,
134,1984,0.736,0.265042141447539,,,,
135,1985,0.321,0.34661325418168676,,,,
136,1986,0.163,0.4161453669564603,,,,
137,1987,0.592,0.4382048918231105,,,,
138,1988,0.807,0.42183579164967355,,,,
139,1989,0.425,0.3958912523101856,,,,
140,1990,0.21,0.36667538148526224,,,,
141,1991,0.355,0.3343812757228976,,,,
142,1992,-0.163,0.32997927500020796,,,,
143,1993,0.419,0.34812948177049485,,,,
144,1994,0.358,0.37492042492019645,,,,
145,1995,0.728,0.423675850546972,,,,
146,1996,0.421,0.4801599272778042,,,,
147,1997,0.092,0.49941032055780876,,,,
148,1998,0.832,0.4888218077486684,,,,
149,1999,0.653,0.48057857611031063,0.409,0.389,0.44,0.392
150,2000,0.33,0.49788261226461,0.367,0.385,0.339,0.411
151,2001,0.399,0.5036668435044188,0.467,0.492,0.439,0.509
152,2002,0.423,0.4843310328911585,0.479,0.465,0.534,0.481
153,2003,0.76,0.48925063592433315,0.491,0.475,0.486,0.483
154,2004,0.427,0.5347248028822121,0.526,0.51,0.528,0.531
155,2005,0.355,0.5966378453130283,0.534,0.525,0.582,0.534
156,2006,0.665,0.6515611126772001,0.546,0.505,0.512,0.555
157,2007,0.731,0.6994780067537194,0.524,0.618,0.573,0.499
158,2008,1.023,0.7317702080045203,0.553,0.595,0.585,0.554
159,2009,0.751,0.7261826251965738,0.652,0.596,0.628,0.673
160,2010,0.891,0.6825571126960815,0.628,0.725,0.666,0.693
161,2011,0.535,0.6243538902285027,0.671,0.625,0.653,0.606
162,2012,0.324,0.5782392722021304,0.736,0.597,0.641,0.682
163,2013,0.494,0.5644214467511435,0.698,0.655,0.652,0.65
164,2014,0.442,0.5799708231293472,0.807,0.844,0.844,0.689
165,2015,0.705,0.6299996474882174,0.767,0.83,0.789,0.738
166,2016,0.818,0.6836772071172995,0.761,0.763,0.809,0.822
167,2017,0.735,0.7406065337224115,0.744,0.772,0.75,0.841
168,2018,0.726,0.7975189521868005,0.827,0.82,0.736,0.843
169,2019,,,0.757,0.865,0.774,0.887
170,2020,,,0.855,0.833,0.84,0.869
171,2021,,,0.841,0.862,0.807,0.958
172,2022,,,0.96,0.877,0.782,1.024
173,2023,,,0.918,0.899,0.921,1.027
174,2024,,,0.937,0.959,0.926,1.064
175,2025,,,0.935,0.901,0.925,1.055
176,2026,,,0.956,1.011,1.015,1.168
177,2027,,,1.007,0.947,0.902,1.142
178,2028,,,0.947,1.034,0.994,1.135
179,2029,,,1.004,1.047,1.084,1.159
180,2030,,,1.055,1.11,1.023,1.163
181,2031,,,0.972,1.056,1.058,1.243
182,2032,,,1.034,1.059,1.084,1.197
183,2033,,,1.161,1.083,1.083,1.299
184,2034,,,1.037,1.156,1.047,1.354
185,2035,,,1.011,1.204,1.091,1.328
186,2036,,,1.137,1.178,1.175,1.351
187,2037,,,1.128,1.193,1.137,1.374
188,2038,,,1.139,1.243,1.09,1.499
189,2039,,,1.204,1.324,1.25,1.514
190,2040,,,1.087,1.265,1.159,1.543
191,2041,,,1.145,1.308,1.292,1.562
192,2042,,,1.096,1.354,1.246,1.549
