"Lat: -0.5, Long: -22.5, over the ocean",year,obs_anoms,smoothed_anoms,rcp26,rcp45,rcp60,rcp85
0,1850,-0.21,-0.22478945012672197,,,,
1,1851,-0.275,-0.2654276143174072,,,,
2,1852,-0.288,-0.30469502289546946,,,,
3,1853,-0.306,-0.34236913644082817,,,,
4,1854,-0.547,-0.37922116540128153,,,,
5,1855,-0.392,-0.40353655789824855,,,,
6,1856,-0.287,-0.402249683291823,,,,
7,1857,-0.683,-0.3823043021926386,,,,
8,1858,-0.389,-0.354497560147868,,,,
9,1859,-0.171,-0.32703695223701873,,,,
10,1860,-0.297,-0.31274358721885487,,,,
11,1861,-0.311,-0.3184111291717795,,,,
12,1862,-0.052,-0.32796948322657693,,,,
13,1863,-0.549,-0.3282102349400522,,,,
14,1864,-0.628,-0.33292837073681647,,,,
15,1865,-0.223,-0.3495769045935068,,,,
16,1866,-0.14,-0.35980008919978035,,,,
17,1867,-0.377,-0.34587500203306,,,,
18,1868,-0.415,-0.3317003092871573,,,,
19,1869,-0.458,-0.3181607521200119,,,,
20,1870,-0.287,-0.2853446511546897,,,,
21,1871,-0.296,-0.23678440714574447,,,,
22,1872,-0.092,-0.18899289175060346,,,,
23,1873,0.082,-0.17171411415123317,,,,
24,1874,-0.626,-0.16714416055022274,,,,
25,1875,0.215,-0.1645918115335573,,,,
26,1876,-0.406,-0.17560464485565436,,,,
27,1877,-0.231,-0.20220972706444784,,,,
28,1878,-0.106,-0.2304706031309155,,,,
29,1879,-0.063,-0.26766890104601826,,,,
30,1880,-0.685,-0.3030793646477175,,,,
31,1881,-0.24,-0.3495085744301276,,,,
32,1882,-0.476,-0.39066494690441017,,,,
33,1883,-0.423,-0.39730441325361193,,,,
34,1884,-0.587,-0.3851158581689491,,,,
35,1885,-0.244,-0.38546509201925466,,,,
36,1886,0.25,-0.36835771707218307,,,,
37,1887,-0.347,-0.3486437982914865,,,,
38,1888,-0.658,-0.3408524167276774,,,,
39,1889,-0.006,-0.35872165391116867,,,,
40,1890,-0.447,-0.3701557830333771,,,,
41,1891,-0.353,-0.3605020607755605,,,,
42,1892,-0.452,-0.34137147167724646,,,,
43,1893,-0.332,-0.3173909244484657,,,,
44,1894,-0.293,-0.28158349220494977,,,,
45,1895,-0.21,-0.2515940664645797,,,,
46,1896,-0.15,-0.22770792210506138,,,,
47,1897,-0.102,-0.21445010346351226,,,,
48,1898,-0.426,-0.21491639161345105,,,,
49,1899,-0.087,-0.24503671196690033,,,,
50,1900,-0.32,-0.29715371950686487,,,,
51,1901,-0.1,-0.3642604528859768,,,,
52,1902,-0.557,-0.4293323435413321,,,,
53,1903,-0.473,-0.4833147895141606,,,,
54,1904,-0.816,-0.5195697632709719,,,,
55,1905,-0.62,-0.536690238685518,,,,
56,1906,-0.432,-0.5135931612289383,,,,
57,1907,-0.421,-0.46029332780603216,,,,
58,1908,-0.596,-0.4053450190080373,,,,
59,1909,-0.232,-0.3605754185359476,,,,
60,1910,-0.139,-0.3228819967488613,,,,
61,1911,-0.649,-0.2929177142866776,,,,
62,1912,-0.126,-0.2717719976160503,,,,
63,1913,-0.197,-0.2589934580248696,,,,
64,1914,-0.406,-0.23702711027012507,,,,
65,1915,-0.189,-0.21823625864708052,,,,
66,1916,-0.205,-0.22400598315110884,,,,
67,1917,-0.027,-0.22532237903184457,,,,
68,1918,-0.252,-0.21367164281977297,,,,
69,1919,-0.445,-0.21120498653358802,,,,
70,1920,-0.207,-0.2029129607167693,,,,
71,1921,-0.042,-0.1760498910663733,,,,
72,1922,-0.369,-0.13100095248426422,,,,
73,1923,0.002,-0.07193611247351457,,,,
74,1924,0.093,-0.018826526062992902,,,,
75,1925,-0.215,0.013193303664038447,,,,
76,1926,0.334,0.022636836526802737,,,,
77,1927,0.172,0.013936686206623465,,,,
78,1928,-0.101,0.007818738256586077,,,,
79,1929,-0.082,-0.002652842029490598,,,,
80,1930,-0.197,-0.007391251291026674,,,,
81,1931,0.236,0.020173235846374857,,,,
82,1932,-0.206,0.06623011934278514,,,,
83,1933,0.184,0.10338648531059284,,,,
84,1934,0.342,0.13525239139658551,,,,
85,1935,0.19,0.15198357117330324,,,,
86,1936,-0.151,0.15325062587234148,,,,
87,1937,0.407,0.14027566221020782,,,,
88,1938,0.094,0.12632394466405442,,,,
