"Lat: -0.5, Long: -17.5, over the ocean",year,obs_anoms,smoothed_anoms,rcp26,rcp45,rcp60,rcp85
0,1850,-0.317,-0.3643086287839471,,,,
1,1851,-0.417,-0.37249176474890755,,,,
2,1852,-0.351,-0.3791685720332622,,,,
3,1853,-0.367,-0.38477742965492845,,,,
4,1854,-0.641,-0.390735937707598,,,,
5,1855,-0.261,-0.4036218121949809,,,,
6,1856,-0.219,-0.3936638724373432,,,,
7,1857,-0.554,-0.36526134873913607,,,,
8,1858,-0.609,-0.339079596531719,,,,
9,1859,-0.048,-0.32050278553357586,,,,
10,1860,-0.262,-0.30257565757733385,,,,
11,1861,-0.357,-0.2875322195507464,,,,
12,1862,-0.022,-0.2827584903509434,,,,
13,1863,-0.392,-0.2835007536535296,,,,
14,1864,-0.545,-0.287184739147602,,,,
15,1865,-0.192,-0.29602978830906956,,,,
16,1866,-0.102,-0.30499562987239665,,,,
17,1867,-0.437,-0.295454060868861,,,,
18,1868,-0.231,-0.2843978236940793,,,,
19,1869,-0.442,-0.2686612006111788,,,,
20,1870,-0.203,-0.23127749157497338,,,,
21,1871,-0.326,-0.17957328145378962,,,,
22,1872,-0.024,-0.13360990186823984,,,,
23,1873,0.177,-0.12114155725076751,,,,
24,1874,-0.654,-0.11959012744763109,,,,
25,1875,0.416,-0.12031957223400544,,,,
26,1876,-0.294,-0.1420505994939127,,,,
27,1877,-0.226,-0.1815981616290763,,,,
28,1878,-0.123,-0.21552764392798598,,,,
29,1879,-0.086,-0.25358134738219157,,,,
30,1880,-0.619,-0.28499529263510787,,,,
31,1881,-0.191,-0.32441129409594927,,,,
32,1882,-0.474,-0.3509514118157585,,,,
33,1883,-0.287,-0.3443746014510453,,,,
34,1884,-0.657,-0.33379700063145007,,,,
35,1885,-0.14,-0.34261704025894485,,,,
36,1886,0.32,-0.3304327859278,,,,
37,1887,-0.364,-0.3145866607042358,,,,
38,1888,-0.658,-0.3182807332564178,,,,
39,1889,0.065,-0.35390298735295356,,,,
40,1890,-0.351,-0.37459582428568183,,,,
41,1891,-0.469,-0.3647859819022568,,,,
42,1892,-0.509,-0.3529596871595033,,,,
43,1893,-0.315,-0.3395293769671673,,,,
44,1894,-0.225,-0.30415496643684625,,,,
45,1895,-0.339,-0.2640217622289698,,,,
46,1896,-0.177,-0.23206946504488288,,,,
47,1897,-0.055,-0.21471513267911504,,,,
48,1898,-0.41,-0.20987428635716235,,,,
49,1899,-0.048,-0.23000008756437493,,,,
50,1900,-0.282,-0.2755847926912688,,,,
51,1901,-0.148,-0.344755060637582,,,,
52,1902,-0.542,-0.4170818586565207,,,,
53,1903,-0.411,-0.47807479055124175,,,,
54,1904,-0.903,-0.517712278043587,,,,
55,1905,-0.631,-0.5355356992343941,,,,
56,1906,-0.484,-0.5071430505140325,,,,
57,1907,-0.404,-0.43590516202777846,,,,
58,1908,-0.575,-0.35719268264990556,,,,
59,1909,-0.126,-0.2937730687064734,,,,
60,1910,0.077,-0.23611598615010249,,,,
61,1911,-0.601,-0.19260155070476936,,,,
62,1912,-0.083,-0.1717593597048677,,,,
63,1913,-0.011,-0.17098017907276852,,,,
64,1914,-0.3,-0.1645150865119684,,,,
65,1915,-0.223,-0.16524051307146814,,,,
66,1916,-0.114,-0.19565978595218916,,,,
67,1917,-0.002,-0.21346398749604328,,,,
68,1918,-0.341,-0.20315153855347942,,,,
69,1919,-0.523,-0.19708793573894745,,,,
70,1920,-0.161,-0.184927462795069,,,,
71,1921,0.077,-0.14435007494139168,,,,
72,1922,-0.383,-0.07195648464152848,,,,
73,1923,0.054,0.004989544384020429,,,,
74,1924,0.137,0.05943948697328115,,,,
75,1925,0.08,0.08789938908735456,,,,
76,1926,0.306,0.08876704200820454,,,,
77,1927,0.178,0.0666150665985922,,,,
78,1928,-0.048,0.0403504442316019,,,,
79,1929,-0.178,0.011406169901831142,,,,
80,1930,-0.08,0.005062187610606655,,,,
81,1931,0.144,0.04148368572260157,,,,
82,1932,-0.202,0.09527384082606292,,,,
83,1933,0.293,0.13621893073618585,,,,
84,1934,0.441,0.16721055945014446,,,,
85,1935,0.19,0.17987121690447044,,,,
86,1936,-0.286,0.16954546013805832,,,,
87,1937,0.462,0.13758138222613533,,,,
88,1938,0.052,0.10622787567812131,,,,
89,1939,-0.073,0.08920428331926153,,,,
90,1940,0.209,0.06866792393047368,,,,
91,1941,0.043,0.0479782238830257,,,,
92,1942,0.029,0.051280133875967145,,,,
93,1943,-0.062,0.05398890164896683,,,,
94,1944,0.021,0.05271728867538824,,,,
95,1945,0.428,0.05707933214661756,,,,
96,1946,-0.24,0.07790375965995498,,,,
97,1947,0.262,0.09281256377448205,,,,
98,1948,-0.127,0.09616843530681177,,,,
99,1949,0.37,0.09611905882155292,,,,
100,1950,0.005,0.09984749708726641,,,,
101,1951,0.112,0.08318822547814085,,,,
102,1952,0.148,0.05160821845172756,,,,
103,1953,0.045,-0.001149491879455006,,,,
104,1954,-0.145,-0.06160970121331791,,,,
105,1955,-0.003,-0.12344087310556656,,,,
106,1956,-0.352,-0.1413434337897543,,,,
107,1957,-0.203,-0.1148446769730804,,,,
108,1958,-0.632,-0.06331876873760969,,,,
109,1959,0.092,0.005601167125407562,,,,
110,1960,0.146,0.09166935608387822,,,,
111,1961,0.3,0.12343200223790246,,,,
112,1962,0.202,0.085273557846282,,,,
113,1963,0.693,0.04710033519756894,,,,
114,1964,-0.289,0.011658589234573689,,,,
115,1965,-0.453,-0.024617759223104028,,,,
116,1966,0.201,-0.05174398774083801,,,,
117,1967,-0.24,-0.035700079488183926,,,,
118,1968,0.341,-0.008536792702771072,,,,
119,1969,0.022,0.010327470736380013,,,,
120,1970,-0.008,0.036471962477150954,,,,
121,1971,-0.233,0.07664263899668286,,,,
122,1972,0.082,0.0902994230497304,,,,
123,1973,0.58,0.07946644361277194,,,,
124,1974,0.32,0.059142065187879275,,,,
125,1975,0.051,0.03409921207536112,,,,
126,1976,-0.478,-0.00610617053271992,,,,
127,1977,-0.121,-0.05272874303083572,,,,
128,1978,-0.257,-0.06595506403397293,,,,
129,1979,0.147,-0.04661166886242741,,,,
130,1980,-0.071,-0.004531968990955919,,,,
131,1981,0.229,0.04994934815747015,,,,
132,1982,-0.015,0.10583298059804463,,,,
133,1983,-0.12,0.14777495158376946,,,,
134,1984,0.555,0.1964812593536481,,,,
135,1985,0.25,0.2641332503380134,,,,
136,1986,0.195,0.3315426468823537,,,,
137,1987,0.42,0.36406300036623657,,,,
138,1988,0.732,0.35850046916975375,,,,
139,1989,0.376,0.3437344657811851,,,,
140,1990,0.279,0.32767729045340543,,,,
141,1991,0.189,0.316630795068319,,,,
142,1992,-0.353,0.3301854512429556,,,,
143,1993,0.327,0.36869701649353764,,,,
144,1994,0.345,0.41744370910369644,,,,
145,1995,0.742,0.48499488887496894,,,,
146,1996,0.651,0.5437754491505471,,,,
147,1997,0.175,0.5584879916164217,,,,
148,1998,0.902,0.5382461308276547,,,,
149,1999,0.672,0.5074651011931388,0.352,0.339,0.37,0.337
150,2000,0.243,0.49323735003234553,0.359,0.365,0.349,0.382
151,2001,0.368,0.4748740779264098,0.414,0.425,0.398,0.436
152,2002,0.415,0.43682723174800625,0.435,0.423,0.493,0.438
153,2003,0.682,0.4293465879657151,0.393,0.394,0.379,0.383
154,2004,0.386,0.46951531782160855,0.473,0.456,0.472,0.47
155,2005,0.151,0.5209971218417211,0.494,0.481,0.532,0.492
156,2006,0.547,0.5603480436498536,0.498,0.483,0.495,0.499
157,2007,0.73,0.6046258263472517,0.49,0.578,0.546,0.504
158,2008,0.851,0.6372415760650059,0.502,0.552,0.538,0.487
159,2009,0.556,0.6269316070796934,0.62,0.555,0.534,0.631
160,2010,1.208,0.5869487821139103,0.593,0.642,0.609,0.645
161,2011,0.565,0.5333006538844139,0.594,0.603,0.597,0.569
162,2012,0.126,0.4846053949277253,0.678,0.542,0.595,0.614
163,2013,0.5,0.46863637460996554,0.635,0.591,0.616,0.613
164,2014,0.344,0.5018353912801217,0.756,0.757,0.798,0.634
165,2015,0.407,0.5766557367880061,0.696,0.76,0.719,0.699
166,2016,0.799,0.6506864563256912,0.726,0.7,0.732,0.745
167,2017,0.92,0.7309875191141244,0.67,0.721,0.719,0.798
168,2018,0.683,0.8158039311745333,0.777,0.789,0.664,0.776
169,2019,,,0.719,0.802,0.748,0.808
170,2020,,,0.786,0.788,0.788,0.798
171,2021,,,0.793,0.783,0.76,0.886
172,2022,,,0.872,0.838,0.758,0.946
173,2023,,,0.866,0.844,0.857,0.97
