"Lat: -0.5, Long: -10.5, over the ocean",year,obs_anoms,smoothed_anoms,rcp26,rcp45,rcp60,rcp85
0,1850,-0.636,-0.5891396437031381,,,,
1,1851,-0.59,-0.5573729825315632,,,,
2,1852,-0.367,-0.5262591914899456,,,,
3,1853,-0.441,-0.4943015676440445,,,,
4,1854,-0.823,-0.46400063804804476,,,,
5,1855,-0.278,-0.464496840652878,,,,
6,1856,-0.264,-0.44671397152570524,,,,
7,1857,-0.555,-0.40730660544779484,,,,
8,1858,-0.783,-0.37475204220315916,,,,
9,1859,0.029,-0.35337602201498325,,,,
10,1860,-0.276,-0.326657950865827,,,,
11,1861,-0.458,-0.2975741748527319,,,,
12,1862,-0.045,-0.2862727858369145,,,,
13,1863,-0.291,-0.2900704156703149,,,,
14,1864,-0.538,-0.28954736423965294,,,,
15,1865,-0.211,-0.2886980341239674,,,,
16,1866,-0.19,-0.2958602216317883,,,,
17,1867,-0.406,-0.29175063957340674,,,,
18,1868,-0.132,-0.28174709417982247,,,,
19,1869,-0.453,-0.25895041010303377,,,,
20,1870,-0.216,-0.21831676944545989,,,,
21,1871,-0.374,-0.1685849329856966,,,,
22,1872,0.054,-0.11469535043703565,,,,
23,1873,0.132,-0.08759458179189687,,,,
24,1874,-0.784,-0.08063177845007485,,,,
25,1875,0.461,-0.08684715986021571,,,,
26,1876,-0.223,-0.1225519081653203,,,,
27,1877,-0.272,-0.17535708836926125,,,,
28,1878,-0.079,-0.22962902550744005,,,,
29,1879,-0.343,-0.288964771638185,,,,
30,1880,-0.435,-0.3382250281227083,,,,
31,1881,-0.229,-0.38753713214891283,,,,
32,1882,-0.596,-0.40953408169444955,,,,
33,1883,-0.349,-0.3939285553443544,,,,
34,1884,-0.797,-0.39156339159207404,,,,
35,1885,-0.162,-0.41408509242401953,,,,
36,1886,0.175,-0.4199024392797838,,,,
37,1887,-0.525,-0.42770794113956906,,,,
38,1888,-0.83,-0.46700205888778124,,,,
39,1889,0.176,-0.5386006027035716,,,,
40,1890,-0.533,-0.577488875590333,,,,
41,1891,-0.785,-0.5617798488646252,,,,
42,1892,-0.74,-0.5338120672002556,,,,
43,1893,-0.363,-0.5005874470806443,,,,
44,1894,-0.285,-0.4388580265846099,,,,
45,1895,-0.538,-0.36846866745912443,,,,
46,1896,-0.305,-0.31587934425212827,,,,
47,1897,-0.081,-0.2910398602165264,,,,
48,1898,-0.417,-0.2820850741741119,,,,
49,1899,-0.058,-0.3053601510964305,,,,
50,1900,-0.375,-0.37312510248188785,,,,
51,1901,-0.248,-0.48171951719381506,,,,
52,1902,-0.7,-0.594809398451031,,,,
53,1903,-0.702,-0.6901170210081167,,,,
54,1904,-1.288,-0.7528381379216452,,,,
55,1905,-0.86,-0.7794167284149031,,,,
56,1906,-0.81,-0.7372921753620221,,,,
57,1907,-0.588,-0.6325873857960255,,,,
58,1908,-0.771,-0.51613815209837,,,,
59,1909,-0.136,-0.421634312182535,,,,
60,1910,0.025,-0.3374335591132346,,,,
61,1911,-0.808,-0.27706230106041513,,,,
62,1912,-0.12,-0.24458857165157652,,,,
63,1913,-0.093,-0.22809068695334495,,,,
64,1914,-0.453,-0.1960605677630177,,,,
65,1915,-0.257,-0.1814516196442853,,,,
66,1916,0.076,-0.21415004199392493,,,,
67,1917,0.112,-0.23543911286093763,,,,
68,1918,-0.457,-0.22854755812336644,,,,
69,1919,-0.714,-0.24554673030914567,,,,
70,1920,-0.252,-0.2773490172012346,,,,
71,1921,0.27,-0.26670636093843864,,,,
72,1922,-0.447,-0.2012284928814407,,,,
73,1923,-0.292,-0.12678830660748175,,,,
74,1924,0.077,-0.08030178499024324,,,,
75,1925,-0.044,-0.052123513155501115,,,,
76,1926,0.202,-0.04891661015934817,,,,
77,1927,0.015,-0.08238869808121453,,,,
78,1928,-0.077,-0.14123633124159823,,,,
79,1929,-0.461,-0.20290199856568503,,,,
80,1930,-0.379,-0.22057721415109163,,,,
81,1931,-0.202,-0.16981824395131384,,,,
82,1932,-0.573,-0.08981249346265521,,,,
83,1933,0.237,-0.010176370019583696,,,,
84,1934,0.556,0.06576892109674953,,,,
85,1935,0.138,0.12235270060337063,,,,
86,1936,-0.501,0.1401746474647337,,,,
87,1937,0.409,0.11518737268065021,,,,
88,1938,0.041,0.0840431668804488,,,,
89,1939,-0.116,0.05331871139069347,,,,
90,1940,0.236,0.0023383843925987484,,,,
91,1941,0.091,-0.035556209358484324,,,,
92,1942,-0.348,-0.034496145596790026,,,,
93,1943,-0.315,-0.030505940385102473,,,,
94,1944,0.058,-0.02728831852709486,,,,
95,1945,0.447,-0.004554586903891234,,,,
96,1946,-0.246,0.04831144000979284,,,,
97,1947,0.307,0.08085624730555804,,,,
98,1948,-0.256,0.08710491527518888,,,,
99,1949,0.446,0.08689723144820427,,,,
100,1950,-0.048,0.08448917799563271,,,,
101,1951,0.145,0.05034647539918322,,,,
102,1952,0.169,-0.007004508272951392,,,,
103,1953,-0.066,-0.09010323386104224,,,,
104,1954,-0.338,-0.17686913420393213,,,,
105,1955,-0.179,-0.25902322797397015,,,,
106,1956,-0.549,-0.27740185546829654,,,,
107,1957,-0.291,-0.2350499681716509,,,,
108,1958,-0.764,-0.16211712895878566,,,,
109,1959,0.166,-0.07323854133848397,,,,
110,1960,0.078,0.024382098192957658,,,,
111,1961,0.234,0.05154582083560685,,,,
112,1962,0.151,0.026083759432356503,,,,
113,1963,1.025,-0.0007129280741153335,,,,
114,1964,-0.249,-0.0290196860696586,,,,
115,1965,-0.31,-0.05280677619283574,,,,
116,1966,0.295,-0.056458394744627674,,,,
117,1967,-0.26,-0.02261671290893137,,,,
118,1968,0.497,0.009322571618690299,,,,
119,1969,-0.053,0.03792937020509844,,,,
120,1970,-0.005,0.07201976121757368,,,,
121,1971,-0.04,0.11807947546478073,,,,
122,1972,0.115,0.13335729389587372,,,,
123,1973,0.668,0.12013770022503331,,,,
124,1974,0.353,0.09323844971418954,,,,
125,1975,0.011,0.05361870047854372,,,,
126,1976,-0.53,0.0028879377485577992,,,,
127,1977,0.001,-0.048715119401732634,,,,
128,1978,-0.397,-0.05984807571353111,,,,
129,1979,0.231,-0.03433916388793859,,,,
130,1980,-0.108,0.017288240406251713,,,,
131,1981,0.262,0.08345614244039104,,,,
132,1982,0.011,0.15124796297225898,,,,
133,1983,0.009,0.19958925151070406,,,,
134,1984,0.692,0.2569112864285975,,,,
135,1985,0.291,0.3293790152483379,,,,
136,1986,0.194,0.3903991871320599,,,,
137,1987,0.542,0.40969933674131453,,,,
138,1988,0.731,0.3923952141654814,,,,
139,1989,0.377,0.36250880388852114,,,,
140,1990,0.215,0.3263618988010651,,,,
141,1991,0.303,0.29234153752276804,,,,
142,1992,-0.339,0.2873389613503237,,,,
143,1993,0.32,0.3069552664113002,,,,
144,1994,0.287,0.3380346010747438,,,,
145,1995,0.656,0.39644908879671586,,,,
146,1996,0.473,0.46559677375233743,,,,
147,1997,0.014,0.4955659747692471,,,,
148,1998,0.878,0.49141521257583065,,,,
149,1999,0.671,0.4839794662370673,0.404,0.393,0.432,0.391
150,2000,0.324,0.496703521864479,0.393,0.402,0.379,0.428
151,2001,0.364,0.49669627677723516,0.476,0.498,0.456,0.512
152,2002,0.432,0.47224214657563834,0.456,0.451,0.518,0.463
153,2003,0.738,0.47536698627389057,0.472,0.465,0.469,0.466
154,2004,0.39,0.5219568293364243,0.523,0.506,0.52,0.522
155,2005,0.358,0.5841135350050328,0.547,0.529,0.595,0.542
156,2006,0.653,0.6388166244446609,0.54,0.521,0.522,0.565
157,2007,0.737,0.694350847816351,0.53,0.642,0.59,0.511
158,2008,0.996,0.7387092999485585,0.542,0.595,0.596,0.542
159,2009,0.7,0.7422856281435718,0.654,0.596,0.604,0.674
160,2010,0.995,0.7051791864633218,0.632,0.714,0.669,0.704
161,2011,0.626,0.6487479118472714,0.666,0.63,0.661,0.607
162,2012,0.317,0.5992374563355419,0.745,0.597,0.628,0.683
163,2013,0.556,0.5787557510486756,0.694,0.659,0.647,0.65
164,2014,0.393,0.5854235473727666,0.816,0.829,0.847,0.692
165,2015,0.626,0.6305525001404956,0.755,0.824,0.783,0.751
166,2016,0.864,0.6790026386126007,0.765,0.759,0.816,0.818
167,2017,0.746,0.7324687540333226,0.743,0.774,0.75,0.847
168,2018,0.716,0.7876745015846642,0.854,0.823,0.726,0.84
169,2019,,,0.759,0.863,0.788,0.88
170,2020,,,0.866,0.834,0.842,0.866
171,2021,,,0.845,0.845,0.809,0.953
172,2022,,,0.948,0.88,0.799,1.021
173,2023,,,0.917,0.892,0.927,1.029
174,2024,,,0.947,0.951,0.935,1.069
175,2025,,,0.945,0.897,0.937,1.059
176,2026,,,0.956,1.0,1.03,1.145
177,2027,,,1.013,0.932,0.925,1.125
