"Lat: -0.5, Long: -25.5, over the ocean",year,obs_anoms,smoothed_anoms,rcp26,rcp45,rcp60,rcp85
0,1850,-0.208,-0.1564253820200118,,,,
1,1851,-0.186,-0.2034474399583094,,,,
2,1852,-0.193,-0.250595537875802,,,,
3,1853,-0.223,-0.2964858908964415,,,,
4,1854,-0.476,-0.3419658368954668,,,,
5,1855,-0.43,-0.37782450153286384,,,,
6,1856,-0.306,-0.3908094213397498,,,,
7,1857,-0.699,-0.3850552834863288,,,,
8,1858,-0.338,-0.36544682119702626,,,,
9,1859,-0.215,-0.34107651315864673,,,,
10,1860,-0.35,-0.33341408497173597,,,,
11,1861,-0.313,-0.3501244632542529,,,,
12,1862,-0.099,-0.36349945184838744,,,,
13,1863,-0.67,-0.3597058709866344,,,,
14,1864,-0.666,-0.3600043870011404,,,,
15,1865,-0.23,-0.37730001938023616,,,,
16,1866,-0.179,-0.3871350690195058,,,,
17,1867,-0.325,-0.3721437947372473,,,,
18,1868,-0.536,-0.356504161154435,,,,
19,1869,-0.47,-0.3424421234441441,,,,
20,1870,-0.354,-0.3139297627153442,,,,
21,1871,-0.267,-0.27185846958856125,,,,
22,1872,-0.078,-0.22504091137150808,,,,
23,1873,-0.038,-0.20003385609459332,,,,
24,1874,-0.584,-0.18643379686814293,,,,
25,1875,0.076,-0.17676129811023128,,,,
26,1876,-0.438,-0.17742101828853862,,,,
27,1877,-0.177,-0.1911802090411121,,,,
28,1878,-0.009,-0.21140521990987693,,,,
29,1879,-0.09,-0.2458240616129392,,,,
30,1880,-0.621,-0.28824258673447245,,,,
31,1881,-0.236,-0.348086567643283,,,,
32,1882,-0.45,-0.40003293744755924,,,,
33,1883,-0.498,-0.4099571530433825,,,,
34,1884,-0.591,-0.3958132876183416,,,,
35,1885,-0.305,-0.39141420952866146,,,,
36,1886,0.167,-0.3709661475842158,,,,
37,1887,-0.321,-0.3480836731483274,,,,
38,1888,-0.695,-0.33710253582702954,,,,
39,1889,-0.016,-0.3531638994663346,,,,
40,1890,-0.47,-0.3715455218643145,,,,
41,1891,-0.351,-0.37061588315958466,,,,
42,1892,-0.433,-0.35391474694256836,,,,
43,1893,-0.364,-0.32605056646626773,,,,
44,1894,-0.366,-0.2844332916150641,,,,
45,1895,-0.169,-0.25234451748569836,,,,
46,1896,-0.132,-0.22851568376702924,,,,
47,1897,-0.054,-0.2140536998462815,,,,
48,1898,-0.45,-0.21468195435541448,,,,
49,1899,-0.126,-0.2513459017449013,,,,
50,1900,-0.34,-0.31471449424858444,,,,
51,1901,-0.08,-0.3916079466836583,,,,
52,1902,-0.553,-0.4610203670852131,,,,
53,1903,-0.565,-0.5157880068333941,,,,
54,1904,-0.83,-0.5553537969204178,,,,
55,1905,-0.668,-0.5767777332868612,,,,
56,1906,-0.403,-0.5586499405134892,,,,
57,1907,-0.499,-0.5118024992041265,,,,
58,1908,-0.65,-0.4665890358277138,,,,
59,1909,-0.306,-0.4318516336806206,,,,
60,1910,-0.259,-0.40273234712483713,,,,
61,1911,-0.719,-0.3750032823277435,,,,
62,1912,-0.205,-0.34986050375810324,,,,
63,1913,-0.297,-0.33057225575973,,,,
64,1914,-0.474,-0.3015993046409334,,,,
65,1915,-0.187,-0.2734359495606593,,,,
66,1916,-0.28,-0.26621578414766367,,,,
67,1917,-0.103,-0.2588655649570478,,,,
68,1918,-0.253,-0.24435219986367435,,,,
69,1919,-0.39,-0.2415248157735138,,,,
70,1920,-0.277,-0.2363369429183808,,,,
71,1921,-0.068,-0.2162972741479886,,,,
72,1922,-0.36,-0.1820551285483574,,,,
73,1923,-0.149,-0.13056655231742137,,,,
74,1924,0.091,-0.07903854775858693,,,,
75,1925,-0.37,-0.04711037196547857,,,,
76,1926,0.277,-0.03458577061536968,,,,
77,1927,0.141,-0.03825149266924942,,,,
78,1928,-0.133,-0.044394854484472016,,,,
79,1929,-0.138,-0.05533467777964773,,,,
80,1930,-0.285,-0.060844564277397026,,,,
81,1931,0.18,-0.03545651890383588,,,,
82,1932,-0.257,0.011310102671271912,,,,
83,1933,0.136,0.05375120681500338,,,,
