"Lat: -0.5, Long: -14.5, over the ocean",year,obs_anoms,rcp26,rcp45,rcp60,rcp85
0,1850,-0.445,,,,
1,1851,-0.506,,,,
2,1852,-0.362,,,,
3,1853,-0.421,,,,
4,1854,-0.73,,,,
5,1855,-0.247,,,,
6,1856,-0.246,,,,
7,1857,-0.541,,,,
8,1858,-0.817,,,,
9,1859,-0.008,,,,
10,1860,-0.279,,,,
11,1861,-0.401,,,,
12,1862,-0.026,,,,
13,1863,-0.339,,,,
14,1864,-0.539,,,,
15,1865,-0.218,,,,
16,1866,-0.14,,,,
17,1867,-0.428,,,,
18,1868,-0.165,,,,
19,1869,-0.456,,,,
20,1870,-0.185,,,,
21,1871,-0.359,,,,
22,1872,0.026,,,,
23,1873,0.156,,,,
24,1874,-0.717,,,,
25,1875,0.443,,,,
26,1876,-0.263,,,,
27,1877,-0.264,,,,
28,1878,-0.095,,,,
29,1879,-0.213,,,,
30,1880,-0.527,,,,
31,1881,-0.21,,,,
32,1882,-0.521,,,,
33,1883,-0.305,,,,
34,1884,-0.754,,,,
35,1885,-0.141,,,,
36,1886,0.242,,,,
37,1887,-0.435,,,,
38,1888,-0.741,,,,
39,1889,0.143,,,,
40,1890,-0.425,,,,
41,1891,-0.603,,,,
42,1892,-0.621,,,,
43,1893,-0.328,,,,
44,1894,-0.231,,,,
45,1895,-0.409,,,,
46,1896,-0.241,,,,
47,1897,-0.038,,,,
48,1898,-0.425,,,,
49,1899,-0.048,,,,
50,1900,-0.332,,,,
51,1901,-0.187,,,,
52,1902,-0.571,,,,
53,1903,-0.502,,,,
54,1904,-1.023,,,,
55,1905,-0.698,,,,
56,1906,-0.629,,,,
57,1907,-0.483,,,,
58,1908,-0.65,,,,
59,1909,-0.114,,,,
60,1910,0.093,,,,
61,1911,-0.684,,,,
62,1912,-0.097,,,,
63,1913,-0.02,,,,
64,1914,-0.35,,,,
65,1915,-0.246,,,,
66,1916,-0.047,,,,
67,1917,0.025,,,,
68,1918,-0.435,,,,
69,1919,-0.602,,,,
70,1920,-0.203,,,,
71,1921,0.153,,,,
72,1922,-0.383,,,,
73,1923,-0.068,,,,
74,1924,0.151,,,,
75,1925,0.11,,,,
76,1926,0.239,,,,
77,1927,0.146,,,,
78,1928,-0.024,,,,
79,1929,-0.336,,,,
80,1930,-0.18,,,,
81,1931,-0.022,,,,
82,1932,-0.35,,,,
83,1933,0.301,,,,
84,1934,0.5,,,,
85,1935,0.172,,,,
86,1936,-0.412,,,,
87,1937,0.411,,,,
88,1938,0.026,,,,
89,1939,-0.072,,,,
90,1940,0.225,,,,
91,1941,0.008,,,,
92,1942,-0.161,,,,
93,1943,-0.123,,,,
94,1944,0.035,,,,
95,1945,0.447,,,,
96,1946,-0.275,,,,
97,1947,0.273,,,,
98,1948,-0.18,,,,
99,1949,0.411,,,,
100,1950,-0.017,,,,
101,1951,0.139,,,,
102,1952,0.149,,,,
103,1953,-0.037,,,,
104,1954,-0.251,,,,
105,1955,-0.094,,,,
106,1956,-0.495,,,,
107,1957,-0.255,,,,
108,1958,-0.701,,,,
109,1959,0.141,,,,
110,1960,0.086,,,,
111,1961,0.274,,,,
112,1962,0.182,,,,
113,1963,0.875,,,,
114,1964,-0.298,,,,
115,1965,-0.431,,,,
116,1966,0.236,,,,
117,1967,-0.243,,,,
118,1968,0.445,,,,
119,1969,-0.033,,,,
120,1970,0.012,,,,
121,1971,-0.109,,,,
122,1972,0.118,,,,
123,1973,0.661,,,,
124,1974,0.353,,,,
125,1975,0.037,,,,
126,1976,-0.518,,,,
127,1977,-0.021,,,,
128,1978,-0.321,,,,
129,1979,0.21,,,,
130,1980,-0.111,,,,
131,1981,0.222,,,,
132,1982,0.012,,,,
133,1983,-0.085,,,,
134,1984,0.568,,,,
135,1985,0.264,,,,
136,1986,0.224,,,,
137,1987,0.464,,,,
138,1988,0.673,,,,
139,1989,0.34,,,,
140,1990,0.244,,,,
141,1991,0.204,,,,
142,1992,-0.445,,,,
143,1993,0.258,,,,
144,1994,0.281,,,,
145,1995,0.716,,,,
146,1996,0.583,,,,
147,1997,0.105,,,,
148,1998,0.94,,,,
149,1999,0.655,0.375,0.365,0.396,0.363
150,2000,0.258,0.377,0.384,0.369,0.405
151,2001,0.354,0.451,0.467,0.438,0.478
152,2002,0.43,0.445,0.435,0.509,0.451
153,2003,0.721,0.418,0.417,0.41,0.414
154,2004,0.405,0.497,0.479,0.5,0.494
155,2005,0.249,0.52,0.505,0.563,0.516
156,2006,0.552,0.521,0.501,0.509,0.53
157,2007,0.739,0.514,0.605,0.578,0.509
158,2008,0.904,0.515,0.577,0.561,0.514
159,2009,0.626,0.635,0.576,0.555,0.658
160,2010,1.152,0.604,0.676,0.639,0.674
161,2011,0.58,0.625,0.62,0.627,0.587
162,2012,0.232,0.717,0.567,0.612,0.65
163,2013,0.562,0.662,0.627,0.624,0.627
164,2014,0.387,0.778,0.788,0.816,0.654
165,2015,0.469,0.726,0.788,0.749,0.719
166,2016,0.826,0.744,0.72,0.767,0.776
167,2017,0.833,0.711,0.75,0.738,0.829
168,2018,0.721,0.823,0.81,0.696,0.807
169,2019,,0.739,0.839,0.775,0.843
170,2020,,0.812,0.816,0.814,0.833
171,2021,,0.823,0.811,0.767,0.922
172,2022,,0.913,0.862,0.79,0.978
173,2023,,0.886,0.863,0.885,0.994
174,2024,,0.901,0.914,0.887,1.029
175,2025,,0.916,0.877,0.898,1.022
176,2026,,0.946,0.973,1.006,1.108
177,2027,,0.989,0.925,0.902,1.099
178,2028,,0.907,0.979,0.96,1.082
179,2029,,0.986,1.023,1.064,1.138
180,2030,,1.008,1.099,0.993,1.147
181,2031,,0.944,1.045,1.047,1.206
182,2032,,0.999,1.054,1.053,1.16
183,2033,,1.11,1.059,1.067,1.256
184,2034,,1.001,1.137,1.038,1.327
185,2035,,1.004,1.168,1.048,1.288
186,2036,,1.11,1.138,1.129,1.314
187,2037,,1.116,1.15,1.121,1.34
188,2038,,1.102,1.233,1.063,1.45
189,2039,,1.18,1.269,1.237,1.48
190,2040,,1.062,1.241,1.128,1.515
191,2041,,1.117,1.262,1.226,1.531
192,2042,,1.08,1.31,1.2,1.509
193,2043,,1.06,1.292,1.202,1.575
194,2044,,1.116,1.365,1.218,1.703
195,2045,,1.046,1.28,1.22,1.615
196,2046,,1.035,1.35,1.204,1.737
197,2047,,1.129,1.372,1.265,1.795
198,2048,,1.204,1.316,1.264,1.786
199,2049,,1.211,1.428,1.356,1.809
200,2050,,1.194,1.413,1.363,1.856
