"Lat: -0.5, Long: -5.5, over the ocean",year,obs_anoms,smoothed_anoms,rcp26,rcp45,rcp60,rcp85
0,1850,-0.832,-0.6789562956950125,,,,
1,1851,-0.595,-0.6309279316308668,,,,
2,1852,-0.348,-0.5846192991111152,,,,
3,1853,-0.466,-0.5369781833035475,,,,
4,1854,-0.868,-0.4915770630086054,,,,
5,1855,-0.357,-0.4807776561614955,,,,
6,1856,-0.274,-0.4532824400046599,,,,
7,1857,-0.605,-0.40327240256515035,,,,
8,1858,-0.557,-0.36451907742316064,,,,
9,1859,0.045,-0.3394462767496388,,,,
10,1860,-0.229,-0.31111903087987386,,,,
11,1861,-0.537,-0.28471635678259544,,,,
12,1862,-0.087,-0.27501864486842226,,,,
13,1863,-0.253,-0.27639392340504676,,,,
14,1864,-0.508,-0.2703698021239711,,,,
15,1865,-0.133,-0.26288076098536856,,,,
16,1866,-0.186,-0.26804034379015573,,,,
17,1867,-0.369,-0.2704428356812569,,,,
18,1868,-0.142,-0.2676612633744965,,,,
19,1869,-0.4,-0.24879916043123562,,,,
20,1870,-0.284,-0.20832413901845814,,,,
21,1871,-0.337,-0.15352580076185973,,,,
22,1872,0.107,-0.09063490667905792,,,,
23,1873,0.099,-0.055894413124334553,,,,
24,1874,-0.813,-0.04162207607700358,,,,
25,1875,0.452,-0.04758632570922301,,,,
26,1876,-0.191,-0.08702240138634551,,,,
27,1877,-0.194,-0.14457220373589585,,,,
28,1878,-0.108,-0.20832608197962268,,,,
29,1879,-0.392,-0.2750773436804188,,,,
30,1880,-0.374,-0.3312120691166552,,,,
31,1881,-0.205,-0.3820996878455956,,,,
32,1882,-0.611,-0.40228689161090037,,,,
33,1883,-0.371,-0.3907901440992878,,,,
34,1884,-0.714,-0.4015798645292492,,,,
35,1885,-0.128,-0.4390556253974648,,,,
36,1886,0.17,-0.4633516380345505,,,,
37,1887,-0.603,-0.4903184050914508,,,,
38,1888,-0.851,-0.5466176022666166,,,,
39,1889,0.178,-0.6308724032620765,,,,
40,1890,-0.614,-0.6749224366551213,,,,
41,1891,-0.9,-0.6609971381293607,,,,
42,1892,-0.815,-0.6313894199927667,,,,
43,1893,-0.442,-0.5909233844481206,,,,
44,1894,-0.366,-0.5198922836472847,,,,
45,1895,-0.659,-0.43499464689473144,,,,
46,1896,-0.385,-0.3650482494851415,,,,
47,1897,-0.11,-0.32270038327090284,,,,
48,1898,-0.36,-0.3023931554184738,,,,
49,1899,-0.061,-0.32894854460536477,,,,
