"Lat: -0.5, Long: -23.5, over the ocean",year,obs_anoms,smoothed_anoms,rcp26,rcp45,rcp60,rcp85
0,1850,-0.203,-0.20009538056302492,,,,
1,1851,-0.246,-0.24544517255606169,,,,
2,1852,-0.263,-0.2897310293070999,,,,
3,1853,-0.288,-0.33239441756674576,,,,
4,1854,-0.529,-0.37419911140489376,,,,
5,1855,-0.416,-0.40204997280975835,,,,
6,1856,-0.303,-0.4043829343998843,,,,
7,1857,-0.7,-0.3876913956794012,,,,
8,1858,-0.366,-0.3607171313439124,,,,
9,1859,-0.193,-0.3322624614875161,,,,
10,1860,-0.312,-0.3191010547694708,,,,
11,1861,-0.307,-0.328666308248354,,,,
12,1862,-0.063,-0.34029602915568075,,,,
13,1863,-0.588,-0.3397559540867124,,,,
14,1864,-0.645,-0.343781362330752,,,,
15,1865,-0.231,-0.36149012196007385,,,,
16,1866,-0.154,-0.37180058062997284,,,,
17,1867,-0.361,-0.3570906726587858,,,,
18,1868,-0.458,-0.34207740125868297,,,,
19,1869,-0.462,-0.3282689165045067,,,,
20,1870,-0.308,-0.2964446240479917,,,,
21,1871,-0.29,-0.2492807943347368,,,,
22,1872,-0.095,-0.20131225171193348,,,,
23,1873,0.049,-0.18175578625178038,,,,
24,1874,-0.62,-0.17510055046492357,,,,
25,1875,0.168,-0.17102994968403995,,,,
26,1876,-0.425,-0.17941145498436417,,,,
27,1877,-0.224,-0.20288190359164485,,,,
28,1878,-0.084,-0.23002846394051743,,,,
29,1879,-0.071,-0.26761080929656195,,,,
30,1880,-0.679,-0.30544184445888967,,,,
31,1881,-0.249,-0.3555804476119847,,,,
32,1882,-0.477,-0.40015437513045743,,,,
33,1883,-0.454,-0.40775573002354726,,,,
34,1884,-0.586,-0.3941596034216441,,,,
35,1885,-0.268,-0.3923698208143941,,,,
36,1886,0.222,-0.37398911418580466,,,,
37,1887,-0.344,-0.35331367113659184,,,,
38,1888,-0.671,-0.34419972312826497,,,,
39,1889,-0.01,-0.36088221288997946,,,,
40,1890,-0.466,-0.37343637495195153,,,,
41,1891,-0.344,-0.3651823474584888,,,,
42,1892,-0.45,-0.3451378579290399,,,,
