"Lat: -0.5, Long: -21.5, over the ocean",year,obs_anoms,rcp26,rcp45,rcp60,rcp85
0,1850,-0.221,,,,
1,1851,-0.303,,,,
2,1852,-0.309,,,,
3,1853,-0.32,,,,
4,1854,-0.562,,,,
5,1855,-0.364,,,,
6,1856,-0.269,,,,
7,1857,-0.66,,,,
8,1858,-0.414,,,,
9,1859,-0.146,,,,
10,1860,-0.283,,,,
11,1861,-0.318,,,,
12,1862,-0.042,,,,
13,1863,-0.511,,,,
14,1864,-0.609,,,,
15,1865,-0.213,,,,
16,1866,-0.126,,,,
17,1867,-0.393,,,,
18,1868,-0.373,,,,
19,1869,-0.454,,,,
20,1870,-0.266,,,,
21,1871,-0.301,,,,
22,1872,-0.086,,,,
23,1873,0.112,,,,
24,1874,-0.629,,,,
25,1875,0.262,,,,
26,1876,-0.384,,,,
27,1877,-0.233,,,,
28,1878,-0.122,,,,
29,1879,-0.056,,,,
30,1880,-0.684,,,,
31,1881,-0.228,,,,
32,1882,-0.471,,,,
33,1883,-0.389,,,,
34,1884,-0.589,,,,
35,1885,-0.22,,,,
36,1886,0.278,,,,
37,1887,-0.348,,,,
38,1888,-0.646,,,,
39,1889,-0.0,,,,
40,1890,-0.422,,,,
41,1891,-0.365,,,,
42,1892,-0.454,,,,
43,1893,-0.325,,,,
44,1894,-0.275,,,,
45,1895,-0.236,,,,
46,1896,-0.151,,,,
47,1897,-0.097,,,,
48,1898,-0.422,,,,
49,1899,-0.078,,,,
50,1900,-0.306,,,,
51,1901,-0.109,,,,
52,1902,-0.554,,,,
53,1903,-0.446,,,,
54,1904,-0.823,,,,
55,1905,-0.614,,,,
56,1906,-0.43,,,,
57,1907,-0.405,,,,
58,1908,-0.581,,,,
59,1909,-0.207,,,,
60,1910,-0.089,,,,
61,1911,-0.626,,,,
62,1912,-0.109,,,,
63,1913,-0.151,,,,
64,1914,-0.378,,,,
65,1915,-0.194,,,,
66,1916,-0.188,,,,
67,1917,-0.017,,,,
68,1918,-0.258,,,,
69,1919,-0.459,,,,
70,1920,-0.188,,,,
71,1921,-0.024,,,,
72,1922,-0.374,,,,
73,1923,0.038,,,,
