"Lat: -0.5, Long: -0.5, over the ocean",year,obs_anoms,smoothed_anoms,rcp26,rcp45,rcp60,rcp85
0,1850,-0.95,-0.6527990737718629,,,,
1,1851,-0.433,-0.5874888457994254,,,,
2,1852,-0.237,-0.525467425585758,,,,
3,1853,-0.41,-0.45969050197610006,,,,
4,1854,-0.765,-0.4175560390106271,,,,
5,1855,-0.312,-0.4391549675834169,,,,
6,1856,-0.277,-0.42482670430630076,,,,
7,1857,-0.582,-0.35157328487074146,,,,
8,1858,-0.442,-0.3075023458017981,,,,
9,1859,0.071,-0.28973376309276905,,,,
10,1860,-0.159,-0.23767824507605306,,,,
11,1861,-0.517,-0.2095121766523319,,,,
12,1862,-0.072,-0.2318263114050867,,,,
13,1863,-0.197,-0.21569264597479568,,,,
14,1864,-0.394,-0.17294298174018147,,,,
15,1865,-0.013,-0.1657713172325061,,,,
16,1866,-0.043,-0.1601606694678144,,,,
17,1867,-0.256,-0.15510388142757603,,,,
18,1868,-0.162,-0.18515322242421997,,,,
19,1869,-0.201,-0.19951788127047174,,,,
20,1870,-0.265,-0.14896544426690558,,,,
21,1871,-0.265,-0.07690166732819922,,,,
22,1872,0.242,0.015584407896979477,,,,
23,1873,0.12,0.09479753780183753,,,,
24,1874,-0.726,0.11095715539988406,,,,
25,1875,0.445,0.08422835268581808,,,,
26,1876,-0.119,0.04171321000340308,,,,
27,1877,-0.013,-0.04348642146833486,,,,
28,1878,-0.104,-0.13845587859344022,,,,
29,1879,-0.322,-0.19431258048775069,,,,
30,1880,-0.275,-0.25716017404296476,,,,
31,1881,-0.115,-0.3098208636221682,,,,
32,1882,-0.555,-0.33252122554327135,,,,
33,1883,-0.301,-0.31532843507739194,,,,
34,1884,-0.519,-0.27869992491618784,,,,
35,1885,-0.022,-0.29420438459679743,,,,
36,1886,0.177,-0.35303384149763045,,,,
37,1887,-0.522,-0.4406033676013061,,,,
38,1888,-0.807,-0.5466736840337328,,,,
39,1889,0.278,-0.6770424088173695,,,,
40,1890,-0.621,-0.7394395086167158,,,,
41,1891,-0.902,-0.7245754132704425,,,,
42,1892,-0.805,-0.6663658797057921,,,,
43,1893,-0.496,-0.6142988792674372,,,,
44,1894,-0.357,-0.528587402072931,,,,
45,1895,-0.691,-0.4187720648191673,,,,
46,1896,-0.393,-0.3340299008473662,,,,
47,1897,-0.03,-0.24830761677962798,,,,
48,1898,-0.23,-0.16779652355969987,,,,
49,1899,0.07,-0.17245085282006217,,,,
50,1900,-0.176,-0.3007652995009184,,,,
51,1901,-0.267,-0.5034532959537918,,,,
52,1902,-0.954,-0.7504210836781092,,,,
53,1903,-1.064,-0.9755814713766355,,,,
54,1904,-1.361,-1.105937082266448,,,,
55,1905,-1.221,-1.0988839693974133,,,,
56,1906,-1.165,-0.9997110382480345,,,,
57,1907,-0.624,-0.81476758020719,,,,
58,1908,-0.808,-0.5961277528379587,,,,
59,1909,-0.259,-0.45792384916503737,,,,
60,1910,-0.056,-0.3739466323055822,,,,
61,1911,-0.963,-0.28915864138839004,,,,
62,1912,-0.322,-0.2599332925337656,,,,
63,1913,-0.075,-0.2420258509018057,,,,
64,1914,-0.324,-0.14696578213951056,,,,
65,1915,-0.08,-0.06568401017956305,,,,
66,1916,0.115,-0.06729202631529757,,,,
67,1917,0.269,-0.10613936056477337,,,,
68,1918,-0.345,-0.12817427138036264,,,,
69,1919,-0.657,-0.16954984724884087,,,,
70,1920,-0.053,-0.24761187502723672,,,,
71,1921,0.372,-0.2582709077695656,,,,
72,1922,-0.561,-0.20249747688850203,,,,
73,1923,-0.407,-0.17658786397663434,,,,
74,1924,0.078,-0.11069912026735082,,,,
75,1925,-0.045,-0.0010615912095050433,,,,
76,1926,0.363,0.041512750995032564,,,,
77,1927,0.082,0.006341558424795814,,,,
78,1928,-0.108,-0.05970450278754491,,,,
79,1929,-0.267,-0.1442053418955651,,,,
80,1930,-0.269,-0.18902957506564438,,,,
81,1931,-0.105,-0.12362714673431882,,,,
82,1932,-0.631,0.010013377491855144,,,,
83,1933,0.179,0.12129002285081833,,,,
84,1934,0.629,0.20576320682144927,,,,
85,1935,0.319,0.26746245098560384,,,,
86,1936,-0.297,0.2422602147046727,,,,
87,1937,0.673,0.14042232896977863,,,,
88,1938,0.11,0.051903452802802834,,,,
89,1939,-0.185,-0.01694859944552516,,,,
90,1940,-0.177,-0.1479844838752954,,,,
91,1941,-0.053,-0.286927792488068,,,,
92,1942,-0.45,-0.36892647690997643,,,,
93,1943,-0.64,-0.3375319390029198,,,,
94,1944,,,,,,
95,1945,,,,,,
96,1946,-0.226,-0.20687477633166565,,,,
97,1947,0.417,-0.10585032260942467,,,,
98,1948,-0.338,-0.039395436936515975,,,,
99,1949,0.129,-0.028726858847659537,,,,
100,1950,0.005,-0.0309623289652352,,,,
101,1951,0.111,-0.08496773812677925,,,,
102,1952,-0.255,-0.1754103782842606,,,,
103,1953,-0.282,-0.27696612451158226,,,,
104,1954,-0.535,-0.38289871121935776,,,,
105,1955,-0.279,-0.46224252898785984,,,,
106,1956,-0.65,-0.47533090157879987,,,,
107,1957,-0.59,-0.39531663979939285,,,,
108,1958,-0.501,-0.256502613970639,,,,
109,1959,0.138,-0.08571606175769737,,,,
110,1960,0.241,0.08796162800585804,,,,
111,1961,0.318,0.17514404222788685,,,,
112,1962,0.112,0.14385258732802667,,,,
113,1963,1.0,0.11765234231541305,,,,
114,1964,-0.099,0.10602017113035261,,,,
115,1965,0.054,0.10000557192071677,,,,
116,1966,0.449,0.13935677539892435,,,,
117,1967,-0.034,0.17046381886263917,,,,
118,1968,0.417,0.16499602293627824,,,,
119,1969,0.019,0.13231322544316734,,,,
120,1970,0.111,0.11377292263829462,,,,
121,1971,0.068,0.12816551490965736,,,,
122,1972,0.01,0.1463688454791311,,,,
123,1973,0.633,0.1201293677491535,,,,
124,1974,0.194,0.06424485237523721,,,,
125,1975,-0.047,-0.0036057716013706883,,,,
126,1976,-0.516,-0.09787335542704809,,,,
127,1977,-0.013,-0.11799994022319468,,,,
128,1978,-0.422,-0.0767706727966102,,,,
129,1979,0.319,-0.006034828047293838,,,,
130,1980,0.029,0.03940321021003646,,,,
131,1981,0.187,0.08032530470660385,,,,
132,1982,-0.094,0.14296788763805188,,,,
133,1983,0.02,0.21165147930023415,,,,
134,1984,0.728,0.2792344941259706,,,,
135,1985,0.436,0.40298194717211216,,,,
136,1986,0.178,0.5208719504536585,,,,
137,1987,0.72,0.547365150660661,,,,
138,1988,0.885,0.5423237008612167,,,,
139,1989,0.5,0.5223114720684586,,,,
140,1990,0.296,0.43453738844289264,,,,
141,1991,0.436,0.3597501084069993,,,,
142,1992,0.006,0.35629880960877514,,,,
143,1993,0.446,0.40424383816126913,,,,
144,1994,0.418,0.4416421221591681,,,,
