"Lat: -0.5, Long: -2.5, over the ocean",year,obs_anoms,rcp26,rcp45,rcp60,rcp85
0,1850,-0.91,,,,
1,1851,-0.511,,,,
2,1852,-0.287,,,,
3,1853,-0.452,,,,
4,1854,-0.827,,,,
5,1855,-0.349,,,,
6,1856,-0.28,,,,
7,1857,-0.608,,,,
8,1858,-0.47,,,,
9,1859,0.059,,,,
10,1860,-0.182,,,,
11,1861,-0.543,,,,
12,1862,-0.092,,,,
13,1863,-0.217,,,,
14,1864,-0.45,,,,
15,1865,-0.064,,,,
16,1866,-0.111,,,,
17,1867,-0.312,,,,
18,1868,-0.152,,,,
19,1869,-0.3,,,,
20,1870,-0.284,,,,
21,1871,-0.297,,,,
22,1872,0.183,,,,
23,1873,0.103,,,,
24,1874,-0.772,,,,
25,1875,0.449,,,,
26,1876,-0.154,,,,
27,1877,-0.098,,,,
28,1878,-0.123,,,,
29,1879,-0.363,,,,
30,1880,-0.32,,,,
31,1881,-0.158,,,,
32,1882,-0.574,,,,
33,1883,-0.339,,,,
34,1884,-0.599,,,,
35,1885,-0.056,,,,
36,1886,0.184,,,,
37,1887,-0.574,,,,
38,1888,-0.831,,,,
39,1889,0.225,,,,
40,1890,-0.624,,,,
41,1891,-0.905,,,,
42,1892,-0.818,,,,
43,1893,-0.471,,,,
44,1894,-0.37,,,,
45,1895,-0.681,,,,
46,1896,-0.402,,,,
47,1897,-0.068,,,,
48,1898,-0.29,,,,
49,1899,-0.0,,,,
50,1900,-0.248,,,,
51,1901,-0.3,,,,
52,1902,-0.925,,,,
53,1903,-0.993,,,,
54,1904,-1.395,,,,
55,1905,-1.148,,,,
56,1906,-1.08,,,,
57,1907,-0.663,,,,
58,1908,-0.847,,,,
59,1909,-0.264,,,,
60,1910,-0.043,,,,
61,1911,-0.94,,,,
62,1912,-0.312,,,,
63,1913,-0.067,,,,
64,1914,-0.377,,,,
65,1915,-0.115,,,,
66,1916,0.099,,,,
67,1917,0.26,,,,
68,1918,-0.373,,,,
69,1919,-0.716,,,,
70,1920,-0.09,,,,
71,1921,0.363,,,,
72,1922,-0.604,,,,
73,1923,-0.44,,,,
74,1924,0.018,,,,
75,1925,-0.104,,,,
76,1926,0.31,,,,
77,1927,-0.031,,,,
78,1928,-0.195,,,,
