"Lat: -0.5, Long: -3.5, over the ocean",year,obs_anoms,rcp26,rcp45,rcp60,rcp85
0,1850,-0.886,,,,
1,1851,-0.545,,,,
2,1852,-0.311,,,,
3,1853,-0.462,,,,
4,1854,-0.848,,,,
5,1855,-0.358,,,,
6,1856,-0.279,,,,
7,1857,-0.613,,,,
8,1858,-0.493,,,,
9,1859,0.053,,,,
10,1860,-0.197,,,,
11,1861,-0.546,,,,
12,1862,-0.093,,,,
13,1863,-0.229,,,,
14,1864,-0.472,,,,
15,1865,-0.088,,,,
16,1866,-0.139,,,,
17,1867,-0.334,,,,
18,1868,-0.148,,,,
19,1869,-0.34,,,,
20,1870,-0.288,,,,
21,1871,-0.311,,,,
22,1872,0.156,,,,
23,1873,0.097,,,,
24,1874,-0.79,,,,
25,1875,0.449,,,,
26,1876,-0.168,,,,
27,1877,-0.133,,,,
28,1878,-0.121,,,,
29,1879,-0.377,,,,
30,1880,-0.34,,,,
31,1881,-0.176,,,,
32,1882,-0.586,,,,
33,1883,-0.353,,,,
34,1884,-0.639,,,,
35,1885,-0.079,,,,
36,1886,0.182,,,,
37,1887,-0.59,,,,
38,1888,-0.838,,,,
39,1889,0.205,,,,
40,1890,-0.622,,,,
41,1891,-0.905,,,,
42,1892,-0.82,,,,
43,1893,-0.46,,,,
44,1894,-0.372,,,,
45,1895,-0.675,,,,
46,1896,-0.401,,,,
47,1897,-0.084,,,,
48,1898,-0.316,,,,
49,1899,-0.027,,,,
50,1900,-0.28,,,,
51,1901,-0.309,,,,
52,1902,-0.906,,,,
53,1903,-0.958,,,,
54,1904,-1.407,,,,
55,1905,-1.111,,,,
56,1906,-1.041,,,,
57,1907,-0.675,,,,
58,1908,-0.857,,,,
59,1909,-0.258,,,,
60,1910,-0.04,,,,
61,1911,-0.929,,,,
62,1912,-0.296,,,,
63,1913,-0.072,,,,
64,1914,-0.403,,,,
65,1915,-0.136,,,,
66,1916,0.095,,,,
67,1917,0.25,,,,
68,1918,-0.387,,,,
69,1919,-0.739,,,,
70,1920,-0.119,,,,
71,1921,0.355,,,,
72,1922,-0.609,,,,
73,1923,-0.449,,,,
74,1924,0.002,,,,
75,1925,-0.126,,,,
76,1926,0.284,,,,
77,1927,-0.067,,,,
78,1928,-0.214,,,,
79,1929,-0.381,,,,
80,1930,-0.408,,,,
81,1931,-0.204,,,,
82,1932,-0.668,,,,
83,1933,0.165,,,,
84,1934,0.56,,,,
85,1935,0.269,,,,
86,1936,-0.431,,,,
87,1937,0.616,,,,
88,1938,0.039,,,,
89,1939,-0.171,,,,
90,1940,-0.065,,,,
91,1941,-0.025,,,,
92,1942,-0.435,,,,
93,1943,-0.644,,,,
94,1944,0.223,,,,
95,1945,,,,,
96,1946,-0.18,,,,
97,1947,0.36,,,,
98,1948,-0.333,,,,
99,1949,0.222,,,,
100,1950,-0.026,,,,
101,1951,0.149,,,,
102,1952,-0.048,,,,
103,1953,-0.155,,,,
104,1954,-0.436,,,,
105,1955,-0.221,,,,
106,1956,-0.562,,,,
107,1957,-0.349,,,,
108,1958,-0.634,,,,
109,1959,0.119,,,,
110,1960,0.183,,,,
111,1961,0.277,,,,
112,1962,0.074,,,,
113,1963,1.009,,,,
114,1964,-0.182,,,,
115,1965,-0.094,,,,
116,1966,0.405,,,,
117,1967,-0.137,,,,
118,1968,0.452,,,,
119,1969,-0.037,,,,
120,1970,-0.008,,,,
121,1971,0.062,,,,
122,1972,0.032,,,,
123,1973,0.624,,,,
124,1974,0.243,,,,
125,1975,-0.052,,,,
126,1976,-0.509,,,,
127,1977,-0.033,,,,
128,1978,-0.452,,,,
129,1979,0.286,,,,
130,1980,-0.006,,,,
131,1981,0.223,,,,
132,1982,-0.07,,,,
133,1983,0.02,,,,
134,1984,0.715,,,,
135,1985,0.386,,,,
136,1986,0.172,,,,
137,1987,0.65,,,,
138,1988,0.841,,,,
139,1989,0.472,,,,
140,1990,0.244,,,,
141,1991,0.384,,,,
142,1992,-0.033,,,,
143,1993,0.463,,,,
144,1994,0.434,,,,
145,1995,0.842,,,,
146,1996,0.422,,,,
147,1997,0.241,,,,
148,1998,0.916,,,,
149,1999,0.658,0.411,0.389,0.441,0.39
150,2000,0.328,0.37,0.389,0.338,0.416
151,2001,0.428,0.477,0.502,0.453,0.518
152,2002,0.494,0.489,0.473,0.536,0.485
153,2003,0.846,0.518,0.494,0.513,0.504
154,2004,0.519,0.527,0.516,0.53,0.535
155,2005,0.34,0.552,0.539,0.596,0.553
156,2006,0.651,0.546,0.5,0.527,0.562
157,2007,0.737,0.522,0.617,0.575,0.504
158,2008,0.981,0.566,0.604,0.597,0.564
159,2009,0.775,0.649,0.602,0.649,0.669
160,2010,0.854,0.636,0.743,0.676,0.703
161,2011,0.44,0.681,0.635,0.642,0.611
162,2012,0.315,0.733,0.606,0.65,0.686
163,2013,0.463,0.716,0.659,0.672,0.666
164,2014,0.546,0.823,0.855,0.849,0.699
165,2015,0.698,0.779,0.833,0.802,0.745
166,2016,0.758,0.76,0.776,0.805,0.836
167,2017,0.77,0.759,0.785,0.749,0.847
168,2018,0.742,0.83,0.826,0.743,0.851
169,2019,,0.773,0.86,0.768,0.891
170,2020,,0.861,0.84,0.851,0.886
171,2021,,0.837,0.881,0.819,0.96
172,2022,,0.98,0.88,0.792,1.042
173,2023,,0.923,0.92,0.925,1.034
174,2024,,0.932,0.962,0.936,1.067
175,2025,,0.927,0.919,0.924,1.053
176,2026,,0.96,1.028,1.012,1.173
177,2027,,1.019,0.971,0.909,1.158
178,2028,,0.96,1.048,1.006,1.141
179,2029,,1.008,1.058,1.096,1.173
180,2030,,1.06,1.112,1.027,1.172
181,2031,,0.981,1.054,1.065,1.257
182,2032,,1.039,1.075,1.076,1.201
183,2033,,1.159,1.093,1.087,1.317
184,2034,,1.041,1.179,1.056,1.357
185,2035,,1.003,1.218,1.099,1.338
186,2036,,1.152,1.185,1.19,1.367
187,2037,,1.131,1.206,1.145,1.387
188,2038,,1.156,1.248,1.098,1.498
189,2039,,1.205,1.327,1.238,1.516
190,2040,,1.088,1.263,1.166,1.537
191,2041,,1.165,1.316,1.302,1.564
192,2042,,1.101,1.362,1.25,1.562
193,2043,,1.086,1.334,1.223,1.635
194,2044,,1.188,1.384,1.221,1.736
195,2045,,1.079,1.302,1.28,1.646
196,2046,,1.08,1.397,1.271,1.743
197,2047,,1.155,1.406,1.305,1.838
198,2048,,1.238,1.341,1.353,1.841
199,2049,,1.227,1.459,1.393,1.806
200,2050,,1.252,1.494,1.398,1.897
201,2051,,1.181,1.539,1.457,1.934
202,2052,,1.175,1.487,1.396,1.978
203,2053,,1.227,1.602,1.429,2.004
204,2054,,1.256,1.579,1.522,2.08
205,2055,,1.188,1.615,1.505,2.115
206,2056,,1.245,1.516,1.471,2.117
207,2057,,1.112,1.565,1.492,2.203
208,2058,,1.189,1.616,1.604,2.251
209,2059,,1.173,1.709,1.644,2.324
210,2060,,1.156,1.753,1.579,2.379
211,2061,,1.163,1.711,1.676,2.348
212,2062,,1.213,1.726,1.714,2.381
213,2063,,1.201,1.743,1.609,2.404
214,2064,,1.202,1.732,1.66,2.46
215,2065,,1.216,1.696,1.726,2.522
216,2066,,1.287,1.809,1.713,2.603
217,2067,,1.261,1.765,1.816,2.649
218,2068,,1.178,1.711,1.787,2.611
219,2069,,1.216,1.795,1.761,2.611
220,2070,,1.112,1.862,1.881,2.62
221,2071,,1.156,1.86,1.894,2.848
222,2072,,1.202,1.807,1.824,2.839
223,2073,,1.202,1.819,1.886,2.839
224,2074,,1.171,1.88,1.949,2.944
225,2075,,1.198,1.843,2.028,2.957
226,2076,,1.075,1.814,2.019,3.034
227,2077,,1.149,1.8,2.075,2.999
228,2078,,1.16,1.801,1.999,3.003
